model, param, value
disease,OuterInoculumMax,0.19865923018753828
disease,PathogenSpread,0.058698417675559986
disease,WetnessDurationOptimum,25.147876324220746
disease,WetnessDurationMinimum,12.254055770469497
disease,DryCriticalInterruption,15.844564940112049
disease,Tmin,6.568612541011655
disease,Topt,20.87799791509757
disease,Tmax,30.97781033048951
disease,RelativeHumidityCritical,60.94195389730323
disease,Rain50Detachment,16.9818916541553
disease,RelativeHumidityNotLimiting,81.59649659314846
disease,HydroThermalTimeOnset,6.02079463920031
disease,CyclePercentageOnset,19.631715470827668
disease,LatencyDuration,24.608722023903155
disease,SporulationDuration,21.988940270356185
disease,OuterInoculumShapeParameter,0.504424705105087
