Model,Parameter,Description,unit,min,max,value,calibration
crop,TbaseCrop,base temperature for crop growth and development,°C,-1,5,1,
crop,ToptCrop,optimum temperature for crop growth and development,°C,20,28,24,
crop,TmaxCrop,maximum temperature for crop growth and development,°C,32,37,35,
crop,CycleLength,crop cycle length,degree days,800,3000,2500,
crop,FloweringStart,percentage of the crop cycle when flowering occurs,% crop cycle,50,85,50,
crop,HalfIntGrowth,percentage of the crop cycle when light interception is halved (growth phase),unitless,20,35,25,
crop,HalfIntSenescence,percentage of the crop cycle when light interception is halved (senescence phase),unitless,50,99,70,
crop,SlopeGrowth,slope of light interception growth phase,unitless,0.001,0.02,0.01,
crop,SlopeSenescence,slope of light interception senescence phase,unitless,0.001,0.07,0.01,
crop,RadiationUseEfficiency,maximum radiation use efficiency,g MJ-1,1,3.5,3,
crop,PartitioningMaximum,maximum partitioning to storage organs,unitless,0.8,1,1,
crop,VarietalResistance,varietal resistance,unitless,0,1,0,
disease,IsSplashBorne,0 or 1 and if 1 the pathogen is dispersed by rain only,unitless,0,1,1,
disease,OuterInoculumMax,pathogen inoculum from external sources,unitless,0.01,0.25,0.01,x
disease,PathogenSpread,percentage of canopy cover state infected by the pathogen by sporulation,unitless,0.001,0.1,0.04,x
disease,WetnessDurationOptimum,optimum leaf wetness duration for pathogen infection,hours,24,48,36,x
disease,WetnessDurationMinimum,minimum leaf wetness duration for pathogen infection,hours,7,14,10,x
disease,DryCriticalInterruption,interruption leaf dry critical for pathogen infection,hours,15,24,18,x
disease,Tmin,tmin for pathogen processes,°C,5,10,7.5,x
disease,Topt,topt for pathogen processes,°C,18,24,18,x
disease,Tmax,tmax for pathogen processes,°C,29,33,31,x
disease,RelativeHumidityCritical,critical relative humidity for pathogen processes,unitless,60,70,60,x
disease,Rain50Detachment,50% spore detachment by rain,unitless,0.1,20,10,x
disease,RelativeHumidityNotLimiting,non limiting relative humidity for pathogen processes,unitless,80,90,90,x
disease,HydroThermalTimeOnset,threshold of hydro-thermal time to determine disease onset,hydrodegree days,1,20,10,x
disease,CyclePercentageOnset,crop cycle to determine disease onset,hydrodegree days,15,35,25,x
disease,LatencyDuration,minimum duration of the latency phase,days,14,25,19.5,x
disease,SporulationDuration,maximum duration of the sporulation phase,days,20,30,25,x
disease,LightStealerDamage,damage mechanism of light stealers (virtual visual lesion ratio),unitless,0.5,2,1,
disease,RUEreducerDamage,damage mechanism of photosynthetic reducers,fraction,0,2,1,
disease,SenescenceAcceleratorDamage,damage mechanism of senescence accelerators,%,0,40,0,
disease,AssimilateSappersDamage,damage mechanism of assimilate sappers,kg ha-1,0,300,25,
disease,OuterInoculumShapeRelease,shape of the primary inoculum release function,unitless,0,2,2,
disease,OuterInoculumShapeParameter,empirical parameter for inoculum bell shaped,unitless,0,1,1,x
