sName,variety,Pyear,DOY,FINT,WGRN,WTOP,Septoria,site,year
Indiana,Generic,1973,100,0,NA,NA,NA,Indiana,1973
Indiana,Generic,1973,151,1,NA,NA,NA,Indiana,1973
Indiana,Generic,1973,191,0.25,NA,NA,NA,Indiana,1973
Indiana,Generic,1974,151,1,NA,NA,NA,Indiana,1974
Indiana,Generic,1974,191,0.25,NA,NA,NA,Indiana,1974
Indiana,Generic,1975,151,1,NA,NA,NA,Indiana,1975
Indiana,Generic,1975,191,0.25,NA,NA,NA,Indiana,1975
Indiana,Generic,1976,151,1,NA,NA,NA,Indiana,1976
Indiana,Generic,1976,191,0.25,NA,NA,NA,Indiana,1976
Indiana,Generic,1977,151,1,NA,NA,NA,Indiana,1977
Indiana,Generic,1977,191,0.25,NA,NA,NA,Indiana,1977
Indiana,Generic,1978,151,1,NA,NA,NA,Indiana,1978
Indiana,Generic,1978,191,0.25,NA,NA,NA,Indiana,1978
Indiana,Generic,1979,151,1,NA,NA,NA,Indiana,1979
Indiana,Generic,1979,191,0.25,NA,NA,NA,Indiana,1979
Indiana,Generic,1980,151,1,NA,NA,NA,Indiana,1980
Indiana,Generic,1980,191,0.25,NA,NA,NA,Indiana,1980
Indiana,Generic,1981,151,1,NA,NA,NA,Indiana,1981
Indiana,Generic,1981,191,0.25,NA,NA,NA,Indiana,1981
Indiana,Generic,1982,151,1,NA,NA,NA,Indiana,1982
Indiana,Generic,1982,191,0.25,NA,NA,NA,Indiana,1982
Indiana,Generic,1983,151,1,NA,NA,NA,Indiana,1983
Indiana,Generic,1983,191,0.25,NA,NA,NA,Indiana,1983
Indiana,Generic,1984,151,1,NA,NA,NA,Indiana,1984
Indiana,Generic,1984,191,0.25,NA,NA,NA,Indiana,1984
Indiana,Generic,1985,151,1,NA,NA,NA,Indiana,1985
Indiana,Generic,1985,191,0.25,NA,NA,NA,Indiana,1985
Indiana,Generic,1986,151,1,NA,NA,NA,Indiana,1986
Indiana,Generic,1986,191,0.25,NA,NA,NA,Indiana,1986
Indiana,Generic,1987,151,1,NA,NA,NA,Indiana,1987
Indiana,Generic,1987,191,0.25,NA,NA,NA,Indiana,1987
Indiana,Generic,1988,151,1,NA,NA,NA,Indiana,1988
Indiana,Generic,1988,191,0.25,NA,NA,NA,Indiana,1988
Indiana,Generic,1989,151,1,NA,NA,NA,Indiana,1989
Indiana,Generic,1989,191,0.25,NA,NA,NA,Indiana,1989
Indiana,Generic,1990,151,1,NA,NA,NA,Indiana,1990
Indiana,Generic,1990,191,0.25,NA,NA,NA,Indiana,1990
Indiana,Generic,1991,151,1,NA,NA,NA,Indiana,1991
Indiana,Generic,1991,191,0.25,NA,NA,NA,Indiana,1991
Indiana,Generic,1974,100,0.25,NA,NA,NA,Indiana,1974
Indiana,Generic,1975,100,0.25,NA,NA,NA,Indiana,1975
Indiana,Generic,1976,100,0.25,NA,NA,NA,Indiana,1976
Indiana,Generic,1977,100,0.25,NA,NA,NA,Indiana,1977
Indiana,Generic,1978,100,0.25,NA,NA,NA,Indiana,1978
Indiana,Generic,1979,100,0.25,NA,NA,NA,Indiana,1979
Indiana,Generic,1980,100,0.25,NA,NA,NA,Indiana,1980
Indiana,Generic,1981,100,0.25,NA,NA,NA,Indiana,1981
Indiana,Generic,1982,100,0.25,NA,NA,NA,Indiana,1982
Indiana,Generic,1983,100,0.25,NA,NA,NA,Indiana,1983
Indiana,Generic,1984,100,0.25,NA,NA,NA,Indiana,1984
Indiana,Generic,1985,100,0.25,NA,NA,NA,Indiana,1985
Indiana,Generic,1986,100,0.25,NA,NA,NA,Indiana,1986
Indiana,Generic,1987,100,0.25,NA,NA,NA,Indiana,1987
Indiana,Generic,1988,100,0.25,NA,NA,NA,Indiana,1988
Indiana,Generic,1989,100,0.25,NA,NA,NA,Indiana,1989
Indiana,Generic,1990,100,0.25,NA,NA,NA,Indiana,1990
Indiana,Generic,1991,100,0.25,NA,NA,NA,Indiana,1991
Indiana,Generic,1973,131,NA,NA,NA,8.955414031,Indiana,1973
Indiana,Generic,1973,137,NA,NA,NA,28.00956052,Indiana,1973
Indiana,Generic,1973,144,NA,NA,NA,30.25076132,Indiana,1973
Indiana,Generic,1973,152,NA,NA,NA,46.8118251,Indiana,1973
Indiana,Generic,1973,157,NA,NA,NA,51.85992219,Indiana,1973
Indiana,Generic,1973,164,NA,NA,NA,77.26464635,Indiana,1973
Indiana,Generic,1973,172,NA,NA,NA,95.42077151,Indiana,1973
Indiana,Generic,1973,174,NA,NA,NA,96.27189003,Indiana,1973
Indiana,Generic,1974,127,NA,NA,NA,5.2252825,Indiana,1974
Indiana,Generic,1974,134,NA,NA,NA,10.1217561,Indiana,1974
Indiana,Generic,1974,141,NA,NA,NA,20.88350606,Indiana,1974
Indiana,Generic,1974,148,NA,NA,NA,32.08005486,Indiana,1974
Indiana,Generic,1974,155,NA,NA,NA,46.66284743,Indiana,1974
Indiana,Generic,1974,162,NA,NA,NA,74.23616907,Indiana,1974
Indiana,Generic,1974,168,NA,NA,NA,94.7849001,Indiana,1974
Indiana,Generic,1974,175,NA,NA,NA,97.77039486,Indiana,1974
Indiana,Generic,1975,134,NA,NA,NA,3.7768516,Indiana,1975
Indiana,Generic,1975,143,NA,NA,NA,20.4845237,Indiana,1975
Indiana,Generic,1975,150,NA,NA,NA,37.8851828,Indiana,1975
Indiana,Generic,1975,157,NA,NA,NA,43.58860084,Indiana,1975
Indiana,Generic,1975,164,NA,NA,NA,56.18053182,Indiana,1975
Indiana,Generic,1975,166,NA,NA,NA,64.98439182,Indiana,1975
Indiana,Generic,1976,107,NA,NA,NA,0.313705456,Indiana,1976
Indiana,Generic,1976,114,NA,NA,NA,0.630786871,Indiana,1976
Indiana,Generic,1976,121,NA,NA,NA,1.423573351,Indiana,1976
