year,month,day,rad,tx,tn,p,Site,Date
1972,1,1,7.45,6.623,-2.085,0,Indiana,1972-01-01
1972,1,2,9.44,2.45,-3.212,3.31355929370147,Indiana,1972-01-02
1972,1,3,8.31,5.36,-2.956,0,Indiana,1972-01-03
1972,1,4,2.37,1.002,-4.786,5.40760755529845,Indiana,1972-01-04
1972,1,5,9.63,-5.355,-17.217,1.77676797511594,Indiana,1972-01-05
1972,1,6,9.93,-3.036,-13.748,0,Indiana,1972-01-06
1972,1,7,9.5,0.775,-3.964,0,Indiana,1972-01-07
1972,1,8,9.51,4.655,-10.63,0,Indiana,1972-01-08
1972,1,9,4.15,7.593,3.649,1.32133364667197,Indiana,1972-01-09
1972,1,10,9.46,7.777,-1.631,0,Indiana,1972-01-10
1972,1,11,6.81,6.33,-5.337,0,Indiana,1972-01-11
1972,1,12,8.53,8.85,-4.509,0,Indiana,1972-01-12
1972,1,13,4.13,8.25,-6.427,10.9769344329784,Indiana,1972-01-13
1972,1,14,10.87,-6.824,-17.374,0,Indiana,1972-01-14
1972,1,15,11.49,-18.301,-26.307,0,Indiana,1972-01-15
1972,1,16,10.66,-11.899,-30.803,0,Indiana,1972-01-16
1972,1,17,10.76,0.402,-11.904,0,Indiana,1972-01-17
1972,1,18,3.88,8.435,-0.785,0,Indiana,1972-01-18
1972,1,19,9.79,8.995,-3.265,0,Indiana,1972-01-19
1972,1,20,3.86,7.272,-0.684,2.26418972010833,Indiana,1972-01-20
1972,1,21,7.56,5.527,-3.938,0,Indiana,1972-01-21
1972,1,22,2.34,8.348,2.665,2.38276392013859,Indiana,1972-01-22
1972,1,23,3.68,3.873,-2.611,3.11960076857076,Indiana,1972-01-23
1972,1,24,2.19,13.159,-4.339,2.62364900765988,Indiana,1972-01-24
1972,1,25,11.93,7.439,-15.691,0,Indiana,1972-01-25
1972,1,26,10.02,-5.966,-12.962,0,Indiana,1972-01-26
1972,1,27,3.12,-6.251,-11.45,6.1834096908342,Indiana,1972-01-27
1972,1,28,11.97,-7.88,-16.677,2.88891100899491,Indiana,1972-01-28
1972,1,29,12.34,-10.264,-22.317,0,Indiana,1972-01-29
1972,1,30,12.81,-12.836,-16.131,0,Indiana,1972-01-30
1972,1,31,11.68,-0.677,-20.341,0,Indiana,1972-01-31
1972,2,1,8.66,0.74,-11.781,0,Indiana,1972-02-01
1972,2,2,10.39,2.24,-5.084,0,Indiana,1972-02-02
1972,2,3,7.62,0.642,-9.5,4.42036986351013,Indiana,1972-02-03
1972,2,4,11.97,-10.572,-18.998,0,Indiana,1972-02-04
1972,2,5,13.14,-3.044,-23.036,0,Indiana,1972-02-05
1972,2,6,6.28,0.542,-8.116,4.67950999736289,Indiana,1972-02-06
1972,2,7,14.75,-9.377,-20.828,0,Indiana,1972-02-07
1972,2,8,12.61,-12.179,-25.619,0,Indiana,1972-02-08
1972,2,9,14.39,-9.619,-20.643,0,Indiana,1972-02-09
1972,2,10,9.95,-6.778,-18.281,0,Indiana,1972-02-10
1972,2,11,12.74,0.588,-8.84,0,Indiana,1972-02-11
