model, param, value
crop,TbaseCrop,2.80551824027628
crop,CycleLength,3683.722028943118
crop,FloweringStart,63.189894896006834
crop,HalfIntGrowth,28.66789959334099
crop,HalfIntSenescence,72.46683523547557
crop,SlopeGrowth,0.0010246306701304202
crop,SlopeSenescence,0.016192386693501273
crop,RadiationUseEfficiency,3.3024336690493135
crop,PartitioningMaximum,0.8756354876387948
disease,OuterInoculumMax,0.04422223223192896
disease,PathogenSpread,0.08756229465570681
disease,WetnessDurationOptimum,12.004946903597343
disease,WetnessDurationMinimum,7.284112603485466
disease,DryCriticalInterruption,41.644442958548524
disease,Tmin,6.952582963802207
disease,Topt,17.403410185046056
disease,Tmax,31.204346857309606
disease,RelativeHumidityCritical,63.981122149232334
disease,Rain50Detachment,4.428086621824249
disease,RelativeHumidityNotLimiting,83.53875845267174
disease,HydroThermalTimeOnset,27.40470590690274
disease,CyclePercentageOnset,38.976906657678526
disease,LatencyDuration,8.569210346407685
disease,SporulationDuration,22.8834795849096
disease,LightStealerDamage,0.9322947987491108
disease,RUEreducerDamage,0.1831402838257291
disease,OuterInoculumShapeParameter,0.49238459695350434
