model, param, value
disease,OuterInoculum,0.09617797298625186
disease,PathogenSpread,0.1556616552421184
disease,WetnessDurationOptimum,10.058069815020199
disease,WetnessDurationMinimum,7.720099706807844
disease,DryCriticalInterruption,22.887596694002763
disease,Tmin,0.027078208834539125
disease,Topt,13.607282131490122
disease,Tmax,32.04030994178932
disease,RelativeHumidityCritical,50.265684509943135
disease,RelativeHumidityNotLimiting,71.64447165710735
disease,HydroThermalTimeOnset,42.847489180412936
Disease,RainInfectionThreshold,2.855735882193864
disease,CyclePercentageOnset,35.40918854657584
disease,LatencyDuration,16.34448261091527
disease,SporulationDuration,16.58192183285196
disease,Rain50Detachment,1.4233623404043916
disease,virtualVisualLesion,0.8066967001191856
disease,RUEreductionFactor,0.34530814601935994
disease,SenescenceAccelerationMax,27.05945267790897
disease,AssimilateSappersMax,15.301494733369172
crop,TbaseCrop,2.389414511600521
crop,CycleLength,2740.0190508114247
crop,HalfIntGrowth,25.7431322267763
crop,HalfIntSenescence,65.4929882590122
crop,SlopeGrowth,0.0020766256311892804
crop,SlopeSenescence,0.05898996615698642
crop,PartitioningMaximum,0.929788889442686
crop,FloweringStart,79.88889661344076
crop,RadiationUseEfficiency,2.8423353489723135
disease,OuterInoculumMax,0.04444786882989204
disease,LightStealerDamage,0.2306528491068249
disease,RUEreducerDamage,0.4088486102949877
disease,OuterInoculumShapeParameter,0.38387515496165286
