model, param, value
crop,TbaseCrop,3.4092768346029043
crop,CycleLength,3947.0697650828515
crop,FloweringStart,57.35191978445823
crop,HalfIntGrowth,23.1052965790894
crop,HalfIntSenescence,75.7274273302088
crop,SlopeGrowth,0.0117714338246911
crop,SlopeSenescence,0.04024322629477267
crop,RadiationUseEfficiency,2.499915211663536
disease,OuterInoculum,0.13141338127921
disease,PathogenSpread,0.04159048891690372
disease,WetnessDurationOptimum,15.74397636336116
disease,WetnessDurationMinimum,9.726593773141955
disease,DryCriticalInterruption,19.742252570069596
disease,Tmin,5.700113655548868
disease,Topt,12.897023180392916
disease,Tmax,23.946686538810003
disease,RelativeHumidityCritical,62.80411195716932
disease,Rain50Detachment,18.238337087771015
disease,RelativeHumidityNotLimiting,71.13689811184376
disease,HydroThermalTimeOnset,43.62466248508427
disease,CyclePercentageOnset,35.38350656140246
disease,LatencyDuration,15.183109702096115
disease,SporulationDuration,30.287021669711315
disease,virtualVisualLesion,1.5232296556848843
disease,RUEreductionFactor,0.962206789616419
disease,SenescenceAccelerationMax,27.659068751144446
disease,AssimilateSappersMax,13.789460191769301
crop,ToptCrop,21.827871442749633
crop,TmaxCrop,34.90636411616654
crop,PartitioningMaximum,0.9126735017310997
disease,OuterInoculumMax,0.028112276316425523
disease,OuterInoculumShapeParameter,0.9732972374625859
crop,VarietalResistance,0.0841899439546046
disease,LightStealerDamage,0.9566126737486058
disease,RUEreducerDamage,0.42786573192038874
disease,AssimilateSappersDamage,16.554966037957143
