sName,Variety,Pyear,DOY,FINT,YIELD_ATT,AGB,YIELD_DIS,RiceBlast
Collobiano,Deneb,2013,206,1,NA,NA,NA,
Collobiano,Deneb,2013,252,0,8350,NA,8350,
Collobiano,Deneb,2014,206,1,,NA,,
Collobiano,Deneb,2014,252,0,8520,NA,#VALUE!,
Collobiano,Deneb,2015,206,1,,NA,,
Collobiano,Deneb,2015,252,0,7510,NA,4170,
Collobiano,Gladio,2013,206,1,,NA,,
Collobiano,Gladio,2013,252,0,7230,NA,7230,
Collobiano,Gladio,2014,206,1,,NA,,
Collobiano,Gladio,2014,252,0,8160,NA,#VALUE!,
Collobiano,Gladio,2015,206,1,,NA,,
Collobiano,Gladio,2015,252,0,7580,NA,5090,
Collobiano,Balilla,2013,206,1,,NA,,
Collobiano,Balilla,2013,252,0,8390,NA,7570,
Collobiano,Balilla,2014,206,1,,NA,,
Collobiano,Balilla,2014,252,0,7960,NA,#VALUE!,
Collobiano,Balilla,2015,206,1,,NA,,
Collobiano,Balilla,2015,252,0,6510,NA,5400,
Collobiano,VialoneNano,2013,206,1,,NA,,
Collobiano,VialoneNano,2013,252,0,5060,NA,5060,
Collobiano,VialoneNano,2014,206,1,,NA,,
Collobiano,VialoneNano,2014,252,0,5140,NA,1120,
Collobiano,VialoneNano,2015,206,1,,NA,,
Collobiano,VialoneNano,2015,252,0,5320,NA,3900,
Collobiano,Deneb,2013,227,0.5,,NA,,
Collobiano,Deneb,2014,227,0.5,,NA,,
Collobiano,Deneb,2015,227,0.5,,NA,,
Collobiano,Gladio,2013,227,0.5,,NA,,
Collobiano,Gladio,2014,227,0.5,,NA,,
Collobiano,Gladio,2015,227,0.5,,NA,,
Collobiano,Balilla,2013,227,0.5,,NA,,
Collobiano,Balilla,2014,227,0.5,,NA,,
Collobiano,Balilla,2015,227,0.5,,NA,,
Collobiano,VialoneNano,2013,227,0.5,,NA,,
Collobiano,VialoneNano,2014,227,0.5,,NA,,
Collobiano,VialoneNano,2015,227,0.5,,NA,,
Collobiano,Deneb,2013,182,,,,0,0
Collobiano,Deneb,2013,189,,,,0,0
Collobiano,Deneb,2013,196,,,,0,0
Collobiano,Deneb,2013,203,,,,0,0
Collobiano,Deneb,2013,210,,,,0,0
Collobiano,Deneb,2013,217,,,,0,0.1929592
Collobiano,Deneb,2013,224,,,,0,0.1929592
Collobiano,Deneb,2013,231,,,,0,0.1929592
Collobiano,Deneb,2013,238,,,,0,0.1929592
Collobiano,Deneb,2013,245,,,,0,0.4620468
Collobiano,Deneb,2013,252,,,,0,0.4620468
Collobiano,Deneb,2014,182,,,,0,0
Collobiano,Deneb,2014,189,,,,0,0
Collobiano,Deneb,2014,196,,,,0,0.6994096
Collobiano,Deneb,2014,203,,,,0,0.6994096
Collobiano,Deneb,2014,210,,,,0,0.6994096
Collobiano,Deneb,2014,217,,,,0,1.2391732
Collobiano,Deneb,2014,224,,,,0,1.7247016
Collobiano,Deneb,2014,231,,,,0,1.7247016
Collobiano,Deneb,2014,238,,,,0,1.5787828
Collobiano,Deneb,2014,245,,,,0,1.7830432
Collobiano,Deneb,2014,252,,,,0,1.7830432
Collobiano,Deneb,2015,182,,,,0,0
Collobiano,Deneb,2015,189,,,,0,1.712585415
Collobiano,Deneb,2015,196,,,,0,1.680279299
Collobiano,Deneb,2015,203,,,,0,1.6272084
Collobiano,Deneb,2015,210,,,,0,1.723557558
Collobiano,Deneb,2015,217,,,,0,1.73205
Collobiano,Deneb,2015,224,,,,0,11.0022868
Collobiano,Deneb,2015,231,,,,0,14.0322304
Collobiano,Deneb,2015,238,,,,0,32.3808688
Collobiano,Deneb,2015,245,,,,0,32.3808688
Collobiano,Deneb,2015,252,,,,0,32.3808688
Collobiano,Gladio,2013,182,,,,0,0
Collobiano,Gladio,2013,189,,,,0,0
Collobiano,Gladio,2013,196,,,,0,0
Collobiano,Gladio,2013,203,,,,0,0
Collobiano,Gladio,2013,210,,,,0,0
Collobiano,Gladio,2013,217,,,,0,0
Collobiano,Gladio,2013,224,,,,0,0
Collobiano,Gladio,2013,231,,,,0,0
Collobiano,Gladio,2013,238,,,,0,0.90685
Collobiano,Gladio,2013,245,,,,0,0.90685
Collobiano,Gladio,2013,252,,,,0,0.90685
Collobiano,Gladio,2014,182,,,,0,0
Collobiano,Gladio,2014,189,,,,0,0
Collobiano,Gladio,2014,196,,,,0,0
Collobiano,Gladio,2014,203,,,,0,0
Collobiano,Gladio,2014,210,,,,0,0
Collobiano,Gladio,2014,217,,,,0,0
Collobiano,Gladio,2014,224,,,,0,0.4620468
Collobiano,Gladio,2014,231,,,,0,0.4620468
Collobiano,Gladio,2014,238,,,,0,1.3676608
Collobiano,Gladio,2014,245,,,,0,1.7054548
Collobiano,Gladio,2014,252,,,,0,1.7054548
Collobiano,Gladio,2015,182,,,,0,0
Collobiano,Gladio,2015,189,,,,0,1.181014838
Collobiano,Gladio,2015,196,,,,0,1.181014838
