sName,Variety,Pyear,DOY,FINT,WGRN,WTOP,
Ottava,Generic,2014,37,0.205211726,NA,NA,
Ottava,Generic,2014,92,1,NA,NA,
Ottava,Generic,2014,101,0.965798046,NA,NA,
Ottava,Generic,2014,107,0.926710098,NA,NA,
Ottava,Generic,2014,129,0.600977199,NA,NA,
Ottava,Generic,2014,142,0.255700326,NA,NA,
Ottava,Generic,2014,185,0,630,NA,
Ottava,Generic,2015,12,0.291208791,NA,NA,
Ottava,Generic,2015,42,0.703296703,NA,NA,
Ottava,Generic,2015,105,1,NA,NA,
Ottava,Generic,2015,114,0.840659341,NA,NA,
Ottava,Generic,2015,134,0.320512821,NA,NA,
Ottava,Generic,2015,156,0.172161172,NA,NA,
Ottava,Generic,2015,183,0,670,NA,
Ottava,Generic,2010,100,1,NA,NA,
Ottava,Generic,2010,187,0,531,NA,
Ottava,Generic,2011,99,1,NA,NA,
Ottava,Generic,2011,182,0,660,NA,
Ottava,Generic,2012,94,1,NA,NA,
Ottava,Generic,2012,179,0,768,NA,
Ottava,Generic,2013,103,1,NA,NA,
Ottava,Generic,2013,179,0,461,NA,
Ottava,Generic,2016,89,1,NA,NA,
Ottava,Generic,2016,180,0,303,NA,
Ottava,Generic,2017,92,1,NA,NA,
Ottava,Generic,2017,166,0,678,NA,
Ottava,Generic,2018,96,1,NA,NA,
Ottava,Generic,2018,186,0,NA,NA,
Ottava,Generic,2019,94,1,NA,NA,
Ottava,Generic,2019,178,0,561,NA,
Ottava,Generic,2020,109,1,NA,NA,
Ottava,Generic,2020,180,0,475,NA,
Ottava,Generic,2021,180,0,475,NA,
Ottava,Generic,2022,180,0,475,NA,
Ottava,Generic,2023,180,0,475,NA,
Ottava,Generic,2014,125,,,,28.83846154
Ottava,Generic,2016,125,,,,19.51111111
Ottava,Generic,2015,125,,,,16.2962963
Ottava,Generic,2010,132,,,,19.88
Ottava,Generic,2011,147,,,,9.7
Ottava,Generic,2013,139,,,,14.32692308
Ottava,Generic,2017,125,,,,22.88888889
Ottava,Generic,2018,128,,,,47.86666667
Ottava,Generic,2019,133,,,,16.43333333
Ottava,Generic,2020,145,,,,14.62962963
Ottava,Generic,2021,132,,,,15.68148148
Ottava,Generic,2022,145,,,,0.55
Ottava,Generic,2023,145,,,,12.9
