year,month,day,rad,tx,tn,p,rhx,rhn
2013,1,1,4.886,3.9,-3.7,2.8,98,88
2013,1,2,4.69,6.3,0,3.8,97,88
2013,1,3,6.723,10.5,-2.3,0.2,98,57
2013,1,4,6.818,11.2,-1.8,0,97,62
2013,1,5,8.296,18.7,-0.3,0,93,41
2013,1,6,7.12,14.3,0.5,0,95,52
2013,1,7,7.12,12.4,-1.2,0.2,98,67
2013,1,8,3.742,7.2,3.5,0,98,91
2013,1,9,2.481,5.7,4.1,0,97,82
2013,1,10,5.966,8,-1.1,0,98,79
2013,1,11,5.712,7.1,-1.1,0.2,98,84
2013,1,12,2.625,4.4,2.7,0,94,89
2013,1,13,2.801,4.4,2.5,1,97,91
2013,1,14,4.051,5,1.1,0.2,97,86
2013,1,15,3.405,4.2,1.5,4.8,96,83
2013,1,16,6.686,7.4,-2.8,0,98,34
2013,1,17,7.772,10.1,-3.4,0,85,24
2013,1,18,7.769,7.6,-5.6,0,92,34
2013,1,19,3.867,1.8,-1.4,0.6,98,80
2013,1,20,2.678,1.8,0.3,12.8,99,98
2013,1,21,4.423,4.6,0.6,1.6,99,94
2013,1,22,7.25,9.2,-1.3,0.2,99,79
2013,1,23,6.83,7.2,-1.9,6.2,99,72
2013,1,24,7.532,10.9,0.1,0.2,98,60
2013,1,25,7.263,7.7,-2.1,0,98,75
2013,1,26,7.502,6.8,-3.4,0,97,69
2013,1,27,7.057,3.7,-5.1,0.2,97,86
2013,1,28,3.407,3.6,1.6,7,98,90
2013,1,29,7.199,7.6,-1.1,0,98,76
2013,1,30,8.742,10.2,-2.3,0.2,98,70
2013,1,31,6.769,6.5,-0.8,0.2,100,97
2013,2,1,5.078,3.2,-0.8,0.6,100,99
2013,2,2,5.518,7.7,3.1,1,99,42
2013,2,3,9.033,12.4,0.4,0,62,17
2013,2,4,10.203,11.8,-3.1,0,87,30
2013,2,5,8.038,7.3,-1.7,0,93,66
2013,2,6,10.831,12.6,-3.3,0,98,22
2013,2,7,9.459,11.5,-0.3,0,96,17
2013,2,8,10.334,9.4,-4.3,0,74,18
