"year","month","day","rad","tx","tn","p"
2009,1,1,6.05,13.918,8.801,0
2009,1,2,1.41,12.181,10.804,20.7353115080764
2009,1,3,4.72,11.143,8.343,6.17610899261223
2009,1,4,7.16,9.449,4.996,0
2009,1,5,8.55,9.515,3.84,0
2009,1,6,6.59,11.27,8.24,0
2009,1,7,6.73,10.475,6.661,6.0514986514022
2009,1,8,7.93,9.695,5.879,0
2009,1,9,5.97,12.592,7.425,0
2009,1,10,6.99,11.755,8.295,0
2009,1,11,8.13,12.484,7.499,0
2009,1,12,6.53,12.554,10.04,0
2009,1,13,4.91,12.123,10.096,2.13904082774619
2009,1,14,8.8,11.794,9.832,1.07355713834068
2009,1,15,4.85,9.907,6.138,9.05431807041168
2009,1,16,8.16,13.036,6.251,0
2009,1,17,8.87,12.105,5.825,0
2009,1,18,8.33,13.146,6.593,0
2009,1,19,6.91,13.404,11.414,0
2009,1,20,2.88,12.969,10.372,12.250080704689
2009,1,21,7.77,10.622,9.49,0
2009,1,22,7.96,10.521,8.182,2.56371796120902
2009,1,23,3.58,13.471,9.517,3.32232713697067
2009,1,24,6.29,14.373,8.788,14.5750045775799
2009,1,25,7.49,11.492,9.011,3.95861271232434
2009,1,26,8.32,10.283,7.594,17.6439491315818
2009,1,27,7.27,10.442,7.952,20.2933165176091
2009,1,28,8.64,11.162,8.435,1.87462866296073
2009,1,29,10.1,11.555,6.828,0
2009,1,30,9.79,11.745,5.814,0
2009,1,31,11.08,12.838,5.637,1.11871957778931
2009,2,1,8.5,12.542,8.694,2.47613787649925
2009,2,2,3.31,12.416,9.562,2.36749053001262
2009,2,3,8.94,14.709,8.551,1.9086513694333
2009,2,4,9.81,13.792,9.737,3.11779975891113
2009,2,5,10.44,16.125,11.282,0
2009,2,6,8.58,14.038,10.816,2.74646282178992
2009,2,7,8.88,11.026,8.516,16.6026979684375
2009,2,8,9.07,8.859,6.822,4.40151882685313
2009,2,9,8.8,11.708,8.533,0
2009,2,10,9.75,13.703,10.421,0
2009,2,11,11.22,10.057,7.464,2.8615295886425
2009,2,12,12.57,9.511,6.821,0
2009,2,13,12.08,8.566,5.291,2.51558720992762
2009,2,14,12.48,8.653,4.841,0
2009,2,15,13.26,9.365,5.505,0
2009,2,16,11.16,9.057,3.03,0
2009,2,17,11.4,9.893,3.927,0
2009,2,18,12.44,11.259,5.861,0
2009,2,19,13.06,10.767,5.194,0
2009,2,20,15.2,9.484,4.865,0
2009,2,21,10.68,10.253,3.263,0
2009,2,22,13.22,11.444,5.677,0
2009,2,23,12.2,12.538,8.21,0
2009,2,24,13.83,10.924,6.895,0
2009,2,25,15.55,10.374,6.267,0
2009,2,26,15.35,11.207,4.432,0
2009,2,27,14.54,13.191,8.897,0
2009,2,28,15.62,14.244,6.736,0
2009,3,1,11.08,14.7,9.867,4.52059507358626
2009,3,2,13.72,13.259,10.693,1.8046302205903
2009,3,3,13.59,13.216,9.903,1.05041265487671
2009,3,4,8.16,14.731,9.493,11.6842942051107
2009,3,5,12.35,9.764,7.579,9.1827303170362
2009,3,6,13.68,10.163,6.677,6.36534690846702
2009,3,7,16.04,12.606,8.433,0
2009,3,8,17.89,12.993,7.514,0
2009,3,9,17.48,12.548,10.622,0
2009,3,10,17.76,12.415,10.281,0
2009,3,11,12.83,12.259,7.43,1.55380368232727
2009,3,12,18.94,14.003,5.91,0
2009,3,13,18.37,13.848,6.377,0
2009,3,14,19.05,15.14,9.302,0
2009,3,15,16.26,13.36,8.8,0
2009,3,16,14.84,13.94,10.105,1.26494765271445
2009,3,17,18.91,15.85,10.42,0
2009,3,18,20.01,14.465,10.65,0
2009,3,19,19.41,14.015,6.721,0
2009,3,20,15.58,11.164,7.622,1.26244425763389
2009,3,21,20.5,9.628,6.858,0
2009,3,22,18.64,12.137,7.441,0
2009,3,23,21.17,13.475,7.682,0
2009,3,24,20.39,13.709,10.489,0
2009,3,25,17.73,11.519,9.152,0
2009,3,26,17.45,12.459,10.786,0
2009,3,27,20.15,14.594,7.758,0
2009,3,28,11.1,16.763,7.622,1.90741306221298
2009,3,29,11.07,15.59,11.481,8.55579972267151
2009,3,30,21.77,13.971,10.163,0
2009,3,31,8.2,14.586,11.099,8.90995794816263
2009,4,1,16.48,13.336,10.28,4.25713658387394
2009,4,2,12.46,14.143,9.684,5.79963718064391
2009,4,3,16.52,14.681,9.065,3.03497910493888
2009,4,4,19.87,14.25,7.957,0
2009,4,5,20.64,15.248,10.809,0
2009,4,6,21.69,15.278,9.722,0
2009,4,7,22.11,17.518,8.727,0
2009,4,8,8.03,15.178,12.058,3.39205861081382
2009,4,9,13.28,16.868,11.695,5.68149983882904
2009,4,10,22.85,18.269,10.507,0
2009,4,11,11.42,16.843,11.068,6.05366528034068
2009,4,12,5.84,14.678,12.727,15.9417986869812
2009,4,13,23.78,16.605,11.984,0
2009,4,14,22.8,16.082,11.736,0
2009,4,15,23.82,18.365,9.161,0
2009,4,16,21.46,16.147,12.62,1.68535411347648
2009,4,17,21.75,16.266,12.133,0
2009,4,18,14.79,14.461,10.062,2.4433910845687
2009,4,19,23.44,14.994,9.21,0
2009,4,20,22.03,14.855,10.576,2.23161578168174
2009,4,21,15.01,15.569,10.242,1.30025446412674
2009,4,22,21.57,17.172,12.636,1.03239331497207
2009,4,23,25.94,18.397,11.367,0
2009,4,24,23.53,18.166,12.956,0
2009,4,25,22.7,20.876,11.809,0
2009,4,26,14.09,19.195,13.714,7.25252385745989
2009,4,27,2.88,14.601,12.128,29.548714842349
2009,4,28,25.28,16.126,13.114,0
2009,4,29,22.3,15.851,12.88,0
2009,4,30,24.46,15.114,11.211,1.02640092372397
2009,5,1,25.09,16.372,9.259,0
2009,5,2,26.42,18.622,12.251,0
2009,5,3,26.44,20.308,11.676,0
2009,5,4,26.45,18.464,11.237,0
2009,5,5,24.94,18.31,13.449,0
2009,5,6,25.96,17.756,11.639,0
2009,5,7,26.98,19.112,12.302,0
2009,5,8,26.24,19.899,11.434,0
2009,5,9,25.9,22.105,13.441,0
2009,5,10,23.76,22.082,14.552,0
2009,5,11,27.15,22.528,14.181,0
2009,5,12,27.46,23.747,15.29,0
2009,5,13,28.07,22.284,13.427,0
2009,5,14,21.66,21.272,15.249,1.13441646089996
2009,5,15,16.52,19.982,15.842,4.860395193095
2009,5,16,25.86,19.241,15.619,0
2009,5,17,24.38,20.252,13.865,0
2009,5,18,27.69,21.247,14.521,0
2009,5,19,28.01,22.14,14.033,0
2009,5,20,28.22,23.479,14.803,0
2009,5,21,28,25.778,17.051,0
2009,5,22,28.22,30.084,18.411,0
2009,5,23,28.21,28.743,18.274,0
2009,5,24,27.03,27.687,20.726,0
2009,5,25,27.52,28.115,18.082,0
2009,5,26,27.17,24.345,18.786,0
2009,5,27,27.26,19.606,16.859,0
