"year","month","day","rad","tx","tn","p"
2002,1,1,3.04,-3.341,-9.365,0
2002,1,2,4.78,-5.344,-10.56,0
2002,1,3,4.93,-3.071,-6.871,0
2002,1,4,4.93,-4.084,-7.223,0
2002,1,5,3.8,-0.807,-8,0
2002,1,6,2.79,1.582,-8.553,0
2002,1,7,1.85,1.404,-0.867,0
2002,1,8,4.24,1.487,-2.452,0
2002,1,9,4.62,2.973,-3.696,0
2002,1,10,4.2,2.022,-2.784,0
2002,1,11,0.8,2.941,-0.559,2.17539966104141
2002,1,12,1.76,2.278,-0.925,0
2002,1,13,4.48,4.703,-0.644,0
2002,1,14,1.49,2.116,-1.561,0
2002,1,15,1.05,2.893,-0.115,7.15727159945345
2002,1,16,2.15,2.962,-0.236,1.13156501203093
2002,1,17,1.81,2.59,-0.499,0
2002,1,18,2.3,4.212,1.218,1.14637911309501
2002,1,19,1.96,6.724,3.055,4.58925366401175
2002,1,20,1.08,7.751,3.894,3.60064804550575
2002,1,21,1.3,8.327,4.356,2.07114219665527
2002,1,22,2.44,8.113,3.581,2.27947307490695
2002,1,23,2.08,7.577,3.722,3.83440330375606
2002,1,24,3.6,9.246,4.797,4.77747917165061
2002,1,25,4.44,6.864,1.001,1.5745103358995
2002,1,26,2.08,9.232,7.233,5.58279752726776
2002,1,27,0.36,11.648,8.635,29.3043017386481
2002,1,28,2.87,11.335,7.001,2.18116754928133
2002,1,29,2.15,8.658,3.681,0
2002,1,30,5.52,12.612,6.404,0
2002,1,31,5.03,9.33,6.495,0
2002,2,1,1.54,9.676,7.17,0
2002,2,2,7.25,13.624,7.278,0
2002,2,3,6.95,13.058,6.03,0
2002,2,4,3.03,10.075,4.925,0
2002,2,5,1.29,10.556,7.405,9.25662578906739
2002,2,6,4.13,7.956,2.988,0
2002,2,7,4.06,6.561,2.896,3.17505666606621
2002,2,8,1.51,9.371,4.075,4.0378431449426
2002,2,9,1.14,9.424,5.463,5.64533770074149
2002,2,10,5.07,8.708,4.801,2.52613723267814
2002,2,11,0.95,9.596,6.869,4.73429560656768
2002,2,12,1.18,10.389,9.079,15.4336184263002
2002,2,13,2.32,9.924,4.51,25.7041245698879
2002,2,14,5.84,4.931,-1.545,1.22739076607559
2002,2,15,9.95,4.84,-4.05,0
2002,2,16,10.02,7.164,-2.753,0
2002,2,17,9.58,7.19,-2.939,0
2002,2,18,2.13,3.526,-0.187,3.5586110722079
2002,2,19,3.17,6.979,-0.312,6.23025251519493
2002,2,20,2.62,7.657,1.95,23.604442123542
2002,2,21,9.7,3.559,-1.384,2.13777954070338
2002,2,22,0.99,7.732,0.789,9.70794190345714
2002,2,23,5.91,5.734,-0.36,6.51768356169669
2002,2,24,8.35,4.56,-0.331,6.90295422526788
2002,2,25,2.71,9.142,4.42,13.8065346382064
2002,2,26,4,11.06,7.326,12.6431047916071
2002,2,27,10.45,7.636,3.348,7.88434758442236
2002,2,28,9.58,7.491,2.044,1.2800544500351
2002,3,1,7.84,6.774,1.368,1.21691823005676
2002,3,2,11.59,6.073,-2.422,0
2002,3,3,5.72,5.135,-3.289,0
2002,3,4,11.47,10.346,-0.272,0
2002,3,5,9.86,9.616,-2.058,0
2002,3,6,6.83,8.966,1.803,1.45258727712871
2002,3,7,6.22,11.649,4.308,2.07365155210937
2002,3,8,13.43,11.407,-0.691,0
2002,3,9,6.16,10.107,4.251,1.27248721310025
2002,3,10,11.91,8.684,1.208,0
2002,3,11,13.99,12.906,2.768,0
2002,3,12,11.1,14.711,6.709,1.6685247421151
2002,3,13,10.06,13.132,2.746,1.63897275922409
2002,3,14,5.56,6.858,1.166,7.34257641717662
2002,3,15,11.1,12.13,2.445,1.39178335666656
2002,3,16,13.92,14.947,4.174,0
2002,3,17,11.81,13.985,7.314,1.20698213572723
2002,3,18,5.91,11.912,7.801,13.2296860217025
