"year","month","day","rad","tx","tn","p"
2009,1,1,6.27,14.545,8.069,0
2009,1,2,2.19,12.312,9.546,11.2458348273208
2009,1,3,6.47,12.42,7.074,5.09055939964043
2009,1,4,6.8,10.977,3.592,0
2009,1,5,9.36,8.941,-0.058,0
2009,1,6,6.88,11.453,3.443,1.59569606626064
2009,1,7,6.21,11.424,7.121,10.3570550679137
2009,1,8,7.92,11.433,3.446,0
2009,1,9,6.64,13.455,4.687,1.59685909738982
2009,1,10,4.26,11.892,3.592,4.31745052327415
2009,1,11,7.94,13.444,2.84,0
2009,1,12,4.61,12.991,9.332,0
2009,1,13,4.63,13.58,9.974,1.99646651744345
2009,1,14,8.55,12.386,7.985,1.25959813584586
2009,1,15,5.6,11.092,6.589,17.9207921028137
2009,1,16,8.15,12.284,2.924,0
2009,1,17,8.69,13.532,3.413,0
2009,1,18,8.87,13.441,5.893,0
2009,1,19,7.18,13.537,10.446,0
2009,1,20,2.85,13.59,9.89,10.67253947258
2009,1,21,7.74,11.154,7.77,0
2009,1,22,9.2,10.637,7.367,1.79274678220054
2009,1,23,2.86,13.5,8.998,2.59726643560043
2009,1,24,7.28,14.207,8.643,16.5680944919018
2009,1,25,7.86,12.204,7.784,5.14875355571576
2009,1,26,7.38,10.534,6.969,26.1106846137977
2009,1,27,6.61,10.281,7.422,19.270545516747
2009,1,28,7.91,10.943,7.523,2.89547741402885
2009,1,29,10.05,12.346,4.163,0
2009,1,30,10.11,12.042,2.632,0
2009,1,31,11.03,13.288,2.986,1.78125500679016
2009,2,1,8.5,12.685,7.091,2.85102128981407
2009,2,2,4.11,13.648,5.071,1.49255394935466
2009,2,3,8.09,14.889,4.004,5.34339882693757
2009,2,4,8.94,14.221,8.798,1.35341286659241
2009,2,5,11.22,17.391,7.744,0
2009,2,6,10.24,15.23,8.295,3.50818037969702
2009,2,7,8.69,10.766,7.304,17.8556174039386
2009,2,8,10.03,8.944,6.322,4.83471048391948
2009,2,9,9.39,12.249,8.019,0
2009,2,10,9.5,14.247,8.519,1.65046751499176
2009,2,11,9.95,10.028,6.247,5.94773888582267
2009,2,12,11.54,8.786,4.567,1.54959857457015
2009,2,13,12.66,9.224,0.685,0
2009,2,14,12.45,8.642,-0.133,0
2009,2,15,13.36,9.746,-0.423,0
2009,2,16,11.63,9.008,-0.922,0
2009,2,17,12.13,10.329,0.157,0
2009,2,18,13.33,13.33,3.843,1.22078061093589
2009,2,19,11.7,10.104,2.231,2.04923748970032
2009,2,20,15.77,10.795,-0.909,0
2009,2,21,11.13,9.585,1.025,0
2009,2,22,13.9,11.212,0.459,0
2009,2,23,7.83,11.122,7.407,2.9888331889083
2009,2,24,13.41,12.294,3.347,0
2009,2,25,16.28,12.18,3.162,0
2009,2,26,16.49,11.221,0.716,0
2009,2,27,13.16,13.481,6.762,0
2009,2,28,16.26,16.595,2.993,0
2009,3,1,11.82,15.61,9.558,5.70514798152999
2009,3,2,12.91,14.432,9.973,5.21297282045907
2009,3,3,11.13,14.416,6.862,1.14977359771729
2009,3,4,12.84,16.69,7.687,9.58126352350064
2009,3,5,9.73,9.966,6.355,20.9493875502744
2009,3,6,11.89,10.55,5.727,6.45545423020621
2009,3,7,14.83,13.382,6.945,1.53135955332573
2009,3,8,18.43,13.212,6.11,0
2009,3,9,17.39,13.724,8.929,0
2009,3,10,18.38,13.01,6.607,0
2009,3,11,13.71,13.138,9.81,0
2009,3,12,18.83,15.589,3.843,0
2009,3,13,18.9,13.815,5.775,0
2009,3,14,19.14,15.441,6.148,0
2009,3,15,17.86,14.915,6.175,0
2009,3,16,13.18,15.639,9.288,0
2009,3,17,16.83,17.842,7.808,0
2009,3,18,19.84,16.326,6.224,0
