Site,Variety,Date,Year,Doy,GrowingSeason,DaysAfterSowing,Tmax,Tmin,RHmax,RHmin,LW,Prec,Rad,GrowingDegreeDays,PhenoCode,CyclePercentage,LightInterception,LightInterceptionRef,AGBattainable,AGBRef,YieldAttainable,YieldRef,HTtimeRinoculum,HTtimeSinoculum,OuterInoculum, FirstInfection, HTtimeRinfection, Susceptible,Latent,Sporulating,Dead,Affected,DiseaseSeverity,DiseaseSeverityRef,LightIntHealthy,AGBactual,YieldActual,YieldActualRef,LightStealers,SenAccelerator,RUEReducers,AssimilateSappers,FungicidePotentialDegradation,FungicideActualDegradation,FungicideTenacityFunction,FungicideConcentrationFactor,FungicideEfficacy
37.7489257812502_7.20612541522409,Generic,7/1/2007,2007,182,2007,1,23.97,15.050001,98.63456,56.644993,7,3.79,20.44,20.566912,1,0.58762604,0.00019460762,,0.053354766,,0,,0.625404,0.625404,0,0,0,1,0,0,0,0,0,,0.00019460762,0.053354766,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/2/2007,2007,183,2007,2,22.96,14.59,100,59.52871,7,2.09,19.8,40.359795,1,1.153137,0.00023719229,,0.11397788,,0,,0.6354499,1.2608539,0,0,0,1,0,0,0,0,0,,0.00023719229,0.11397788,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/3/2007,2007,184,2007,3,23.18,15.14,100,61.334015,7,4.24,19.41,60.568474,1,1.7305279,0.00029029726,,0.18824044,,0,,0.8496222,2.110476,0,0,0,1,0,0,0,0,0,,0.00029029726,0.18824044,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/4/2007,2007,185,2007,4,21.54,15.32,100,72.00817,11,3.64,17.08,79.970566,1,2.2848732,0.00035243426,,0.2644094,,0,,1,3.110476,0,0,0,1,0,0,0,0,0,,0.00035243426,0.2644094,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/5/2007,2007,186,2007,5,19.79,14.970001,100,80.96005,15,0.84000003,15.04,98.08864,1,2.8025324,0.0004224092,,0.3394777,,0,,0.6192505,3.7297266,0,0,0,1,0,0,0,0,0,,0.0004224092,0.3394777,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/6/2007,2007,187,2007,6,22.2,14.130001,100,61.083965,7,4.48,19.47,117.17957,1,3.3479877,0.00051121745,,0.46340364,,0,,1,4.729727,0,0,0,1,0,0,0,0,0,,0.00051121745,0.46340364,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/7/2007,2007,188,2007,7,23.12,14.65,100,59.001183,24,9.58,19.95,137.0935,1,3.9169571,0.00062379515,,0.6250274,,0,,1,5.729727,0,0,0,1,0,0,0,0,0,,0.00062379515,0.6250274,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/8/2007,2007,189,2007,8,21.03,14.460001,100,69.65994,24,11.61,17.58,155.67299,1,4.4477997,0.00075106265,,0.78501713,,0,,1,6.729727,0,0,0,1,0,0,0,0,0,,0.00075106265,0.78501713,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/9/2007,2007,190,2007,9,22.41,14.259999,100,60.672943,24,8.17,19.59,174.9646,1,4.9989886,0.00091072917,,1.0094857,,0,,0.6271272,7.356854,0,0,0,1,0,0,0,0,0,,0.00091072917,1.0094857,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/10/2007,2007,191,2007,10,23.04,14.69,100,59.640568,7,3.07,19.84,194.85664,1,5.5673327,0.0011109441,,1.295427,,0,,0.6235693,7.9804235,0,0,0,1,0,0,0,0,0,,0.0011109441,1.295427,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/11/2007,2007,192,2007,11,23.080002,14.570001,100,58.7865,7,1.29,20.04,214.70477,1,6.1344223,0.001354521,,1.6467983,,0,,0.6242918,8.604715,0,0,0,1,0,0,0,0,0,,0.001354521,1.6467983,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/12/2007,2007,193,2007,12,22.58,14.42,100,60.637943,7,0.61,19.63,234.18748,1,6.6910706,0.0016454002,,2.057196,,0,,0.6158404,9.220555,0,0,0,1,0,0,0,0,0,,0.0016454002,2.057196,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/13/2007,2007,194,2007,13,23,14.28,99.54777,57.674835,7,1.45,20.3,253.82944,1,7.2522697,0.002001799,,2.5777483,,0,,0.6250499,9.845605,0,0,0,1,0,0,0,0,0,,0.002001799,2.5777483,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/14/2007,2007,195,2007,14,23.310001,14.7300005,99.80272,58.42336,7,1.44,20.15,273.8895,1,7.825414,0.0024453844,,3.2223887,,0,,1,10.845605,0,0,0,1,0,0,0,0,0,,0.0024453844,3.2223887,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/15/2007,2007,196,2007,15,22.89,14.900001,100,61.600166,24,10.69,19.46,293.81433,1,8.394695,0.0029829452,,3.9766927,,0,,1,11.845605,0,0,0,1,0,0,0,0,0,,0.0029829452,3.9766927,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/16/2007,2007,197,2007,16,19.82,15.080001,100,81.55337,24,12.17,14.99,312.02203,1,8.914915,0.0035765297,,4.6133156,,0,,0.59790814,12.443513,0,0,0,1,0,0,0,0,0,,0.0035765297,4.6133156,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/17/2007,2007,198,2007,17,22.32,13.52,99.49526,57.180565,7,4.79,20.44,330.81726,1,9.451922,0.0043128794,,5.6939006,,0,,0.6117355,13.055248,0,0,0,1,0,0,0,0,0,,0.0043128794,5.6939006,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/18/2007,2007,199,2007,18,23.12,14.22,99.04543,56.747818,7,2.53,20.57,350.49298,1,10.014086,0.005245789,,7.0785475,,0,,1,14.055248,0,0,0,1,0,0,0,0,0,,0.005245789,7.0785475,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/19/2007,2007,200,2007,19,23.17,14.58,99.82782,58.36663,24,6.9799995,20.22,370.39597,1,10.582742,0.0063936226,,8.756618,,0,,1,15.055248,0,0,0,1,0,0,0,0,0,,0.0063936226,8.756618,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/20/2007,2007,201,2007,20,22.73,14.94,100,62.708622,24,7.48,19.27,390.2551,1,11.150146,0.0077872574,,10.700141,,0,,1,16.055248,0,0,0,1,0,0,0,0,0,,0.0077872574,10.700141,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/21/2007,2007,202,2007,21,21.560001,15.520001,100,73.17665,24,6.7,16.98,409.78357,1,11.708101,0.009450763,,12.743933,,0,,1,17.055248,0,0,0,1,0,0,0,0,0,,0.009450763,12.743933,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/22/2007,2007,203,2007,22,22.27,14.670001,100,63.743176,24,10.56,19.06,429.2318,1,12.263766,0.011456429,,15.513527,,0,,1,18.055248,0,0,0,1,0,0,0,0,0,,0.011456429,15.513527,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/23/2007,2007,204,2007,23,22.62,14.550001,100,61.137074,24,5.17,19.66,448.81152,1,12.823187,0.013899784,,19.003014,,0,,1,19.055248,0,0,0,1,0,0,0,0,0,,0.013899784,19.003014,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/24/2007,2007,205,2007,24,22,14.43,100,63.874775,24,6.3899994,19.05,467.96188,1,13.370339,0.016784357,,22.996386,,0,,1,20.055248,0,0,0,1,0,0,0,0,0,,0.016784357,22.996386,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/25/2007,2007,206,2007,25,22.18,14.75,100,64.71373,24,6.7200003,18.89,487.40436,1,13.925838,0.020313313,,27.86189,,0,,1,21.055248,0,0,0,1,0,0,0,0,0,,0.020313313,27.86189,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/26/2007,2007,207,2007,26,21.580002,14.750001,100,68.19026,24,14.620001,18.13,506.4953,1,14.471294,0.024481606,,33.38811,,0,,1,22.055248,0,0,0,1,0,0,0,0,0,,0.024481606,33.38811,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/27/2007,2007,208,2007,27,23.34,14.87,100,59.006775,24,11.86,20.2,526.64594,1,15.047028,0.029784197,,41.29471,,0,,1,23.055248,0,0,0,1,0,0,0,0,0,,0.029784197,41.29471,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/28/2007,2007,209,2007,28,23.75,14.560001,98.05251,55.286335,24,16.88,21.06,546.84937,1,15.624267,0.03621111,,51.34292,,0,,1,24.055248,0,0,0,1,0,0,0,0,0,,0.03621111,51.34292,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/29/2007,2007,210,2007,29,23.21,15.52,100,63.29037,24,10.47,19.28,567.2702,1,16.20772,0.044053465,,62.654533,,0,,1,25.055248,0,0,0,1,0,0,0,0,0,,0.044053465,62.654533,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/30/2007,2007,211,2007,30,22.33,15.530001,100,68.48995,24,6.24,18.14,587.23315,1,16.778091,0.0532686,,75.234985,,0,,1,26.055248,0,0,0,1,0,0,0,0,0,,0.0532686,75.234985,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,7/31/2007,2007,212,2007,31,23.06,14.95,100,60.945934,24,5.22,19.83,607.2771,1,17.350775,0.06433047,,91.91076,,0,,1,27.055248,0,0,0,1,0,0,0,0,0,,0.06433047,91.91076,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,8/1/2007,2007,213,2007,32,21.08,15.440001,100,75.71737,24,16.66,16.55,626.48065,1,17.899448,0.07690271,,107.85062,,0,,1,28.055248,0,0,0,1,0,0,0,0,0,,0.07690271,107.85062,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,8/2/2007,2007,214,2007,33,22.14,14.78,100,65.11674,24,7.83,18.92,645.91736,1,18.45478,0.09188558,,129.88776,,0,,1,29.055248,0,0,0,1,0,0,0,0,0,,0.09188558,129.88776,0,,0,0,0,0,0,0,0,0,0
37.7489257812502_7.20612541522409,Generic,8/3/2007,2007,215,2007,34,23.07,14.34,99.50001,57.626842,24,7.2300005,20.62,665.6323,1,19.018066,0.10971292,,158.97519,,0,,0.6374589,29.692707,0,0,0,1,0,0,0,0,0,,0.10971292,158.97519,0,,0,0,0,0,0,0,0,0,0
