Site,Variety,Date,Year,Doy,GrowingSeason,DaysAfterSowing,Tmax,Tmin,RHmax,RHmin,LW,Prec,Rad,GrowingDegreeDays,PhenoCode,CyclePercentage,LightInterception,LightInterceptionRef,AGBattainable,AGBRef,YieldAttainable,YieldRef,HTtimeR,HTtimeS,Susceptible,Latent,Sporulating,Dead,Affected,DiseaseSeverity,DiseaseSeverityRef,LightIntHealthy,AGBactual,YieldActual,YieldActualRef,LightStealers,SenAccelerator,RUEReducers,AssimilateSappers
39.2489257812503_12.7061385542056,Generic,7/1/2007,2007,182,2007,1,21.14,15.75,100,77.43328,13,1.31,24.000732,17.922798,1,0.5733367,0.00043323878,,0.1307979,,0,,0.6157131,0.6157131,1,0,0,0,0,0,,0.00043323878,0.1307979,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/2/2007,2007,183,2007,2,20.77,14.96,100,74.487915,11,2.64,24.536745,35.174736,1,1.1252131,0.00051141874,,0.28273875,,0,,0,1.0818329,1,0,0,0,0,0,,0.00051141874,0.28273875,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/3/2007,2007,184,2007,3,23.95,15.009999,98.59375,56.5439,7,0.43,28.033348,54.179016,1,1.7331457,0.00061395596,,0.51230425,,0,,0.5739615,1.6557944,1,0,0,0,0,0,,0.00061395596,0.51230425,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/4/2007,2007,185,2007,4,21.95,15.540001,100,70.868385,11,1.15,25.271112,72.43133,1,2.3170233,0.0007317275,,0.7491877,,0,,0.7351797,2.390974,1,0,0,0,0,0,,0.0007317275,0.7491877,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/5/2007,2007,186,2007,5,19.77,14.399999,100,77.066345,13,4.17,23.978745,88.71795,1,2.8380198,0.0008557473,,0.9837434,,0,,0.71869683,3.1096709,1,0,0,0,0,0,,0.0008557473,0.9837434,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/6/2007,2007,187,2007,6,19.93,14.77,100,78.60552,13,6.34,23.704096,105.34004,1,3.3697479,0.0010039977,,1.2613853,,0,,0.70954114,3.819212,1,0,0,0,0,0,,0.0010039977,1.2613853,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/7/2007,2007,188,2007,7,20.260002,14.820001,100,76.803925,13,5.98,24.072598,122.19802,1,3.909022,0.0011805738,,1.5976372,,0,,0.65174216,4.470954,1,0,0,0,0,0,,0.0011805738,1.5976372,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/8/2007,2007,189,2007,8,20.310001,14.020001,100,71.180954,11,7.4700003,25.13401,138.58669,1,4.433283,0.0013819173,,1.99715,,0,,0.5301414,5.0010953,1,0,0,0,0,0,,0.0013819173,1.99715,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/9/2007,2007,190,2007,9,21.87,14.63,100,65.7793,9,9.62,26.238882,156.28876,1,4.9995584,0.0016380793,,2.5311575,,0,,0.89611644,5.8972116,1,0,0,0,0,0,,0.0016380793,2.5311575,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/10/2007,2007,191,2007,10,19.060001,14.910001,100,85.52823,17,9.24,22.296257,172.4469,1,5.516445,0.001913059,,3.0148787,,0,,0.82645464,6.723666,1,0,0,0,0,0,,0.001913059,3.0148787,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/11/2007,2007,192,2007,11,19.22,14.530001,100,81.599205,15,5.7,23.073774,188.46259,1,6.028775,0.002231044,,3.593528,,0,,0.64258885,7.366255,1,0,0,0,0,0,,0.002231044,3.593528,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/12/2007,2007,193,2007,12,20.08,14.440001,100,75.36536,11,6.08,24.339138,204.97157,1,6.556885,0.0026140893,,4.3307347,,0,,0.7430716,8.109326,1,0,0,0,0,0,,0.0026140893,4.3307347,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/13/2007,2007,194,2007,13,19.64,14.239999,100,76.79369,13,4.52,24.033054,221.07158,1,7.0719123,0.003050708,,5.159209,,0,,0,8.616416,1,0,0,0,0,0,,0.003050708,5.159209,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/14/2007,2007,195,2007,14,22.58,13.67,99.16394,56.64693,7,4.09,28.028866,238.62955,1,7.633578,0.003610096,,6.4061375,,0,,0.54823864,9.164655,1,0,0,0,0,0,,0.003610096,6.4061375,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/15/2007,2007,196,2007,15,21.629997,13.999999,100,63.45559,9,5.95,26.686619,255.82169,1,8.183542,0.004256674,,7.77682,,0,,1,10.164655,1,0,0,0,0,0,,0.004256674,7.77682,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/16/2007,2007,197,2007,16,19.67,14.72,100,79.96765,24,13.62,23.442713,272.24844,1,8.709021,0.0049818372,,9.123278,,0,,0,10.6781645,1,0,0,0,0,0,,0.0049818372,9.123278,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/17/2007,2007,198,2007,17,21.989998,13.499999,100,58.76037,7,11.5,27.608307,289.35635,1,9.2562895,0.005867922,,11.068477,,0,,0.72024614,11.398411,1,0,0,0,0,0,,0.005867922,11.068477,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/18/2007,2007,199,2007,18,20.08,14.640001,100,76.72815,13,10.04,24.09755,305.99097,1,9.788419,0.0068793325,,13.003895,,0,,0.5593098,11.957721,1,0,0,0,0,0,,0.0068793325,13.003895,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/19/2007,2007,200,2007,19,21.11,13.69,100,64.53559,9,3.9100003,26.467476,322.6755,1,10.3221445,0.008067504,,15.504294,,0,,0.6287229,12.586444,1,0,0,0,0,0,,0.008067504,15.504294,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/20/2007,2007,201,2007,20,20.75,14.59,100,72.1832,11,3.72,25.007084,339.69254,1,10.866507,0.009488949,,18.338348,,0,,0.539317,13.125761,1,0,0,0,0,0,,0.009488949,18.338348,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/21/2007,2007,202,2007,21,21.779999,14.319999,100,64.47082,9,8.85,26.517933,357.1631,1,11.425376,0.011206279,,21.982117,,0,,0.8464163,13.9721775,0.93993783,0.06006215,0,0,0.06006215,0,,0.011206279,21.982117,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/22/2007,2007,203,2007,22,22.05,14.41,100,63.480984,24,13.08,26.719078,374.84222,1,11.990918,0.01325648,,26.37707,,0,,0,14.473087,0.8606256,0.1393744,0,0,0.1393744,0,,0.01325648,26.37707,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/23/2007,2007,204,2007,23,22.23,14.09,100,60.70245,7,7.4,27.260601,392.44073,1,12.553881,0.015663862,,31.651232,,0,,0,14.952754,0.83403623,0.1659638,0,0,0.1659638,0,,0.015663862,31.651232,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/24/2007,2007,205,2007,24,23.66,14.59,98.4001,55.89193,7,6.02,28.223148,411.092,1,13.150522,0.018685047,,38.554443,,0,,0.500629,15.453383,0.81631744,0.18368259,0,0,0.18368259,0,,0.018685047,38.554443,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/25/2007,2007,206,2007,25,22.9,15.24,100,63.454723,9,9.78,26.749733,429.68686,1,13.7453575,0.022263931,,46.326874,,0,,0.54168326,15.995067,0.8003314,0.19966859,0,0,0.19966859,0,,0.022263931,46.326874,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/26/2007,2007,207,2007,26,24.23,16.47,100,62.82089,24,16.04,26.861454,449.46893,1,14.378171,0.026806153,,56.32408,,0,,0,16.455769,0.78588414,0.21411587,0,0,0.21411587,0,,0.026806153,56.32408,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/27/2007,2007,208,2007,27,23.48,15.3,100,60.566628,7,4.06,27.31443,468.3856,1,14.983299,0.03198571,,67.92348,,0,,0,16.920336,0.7802353,0.2197647,0,0,0.2197647,0,,0.03198571,67.92348,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/28/2007,2007,209,2007,28,24.09,15.02,98.18869,55.876034,7,9.12,28.2347,487.4619,1,15.593536,0.03818324,,82.357704,,0,,0.6565702,17.576906,0.7755379,0.22446209,0,0,0.22446209,0,,0.03818324,82.357704,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/29/2007,2007,210,2007,29,20.87,15.710001,100,78.956345,13,5.51,23.755575,505.20966,1,16.161274,0.044972923,,95.66541,,0,,0.59133416,18.16824,0.752718,0.247282,0,0,0.247282,0,,0.044972923,95.66541,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/30/2007,2007,211,2007,30,21.53,15.29,100,71.87772,11,2.16,25.128647,523.0932,1,16.733355,0.05296902,,112.37201,,0,,0.48434314,18.652582,0.74047685,0.25952315,0,0,0.25952315,0,,0.05296902,112.37201,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,7/31/2007,2007,212,2007,31,22.630001,15.770001,100,68.14621,9,0.9,25.864202,541.8207,1,17.332432,0.06277006,,133.711,,0,,0.652382,19.304964,0.7410581,0.25894192,0,0,0.25894192,0,,0.06277006,133.711,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,8/1/2007,2007,213,2007,32,21.099998,15.679999,100,77.21752,13,0.57,24.102566,559.6817,1,17.903793,0.073671535,,155.97038,,0,,0.5094592,19.814423,0.725534,0.27446598,0,0,0.27446598,0,,0.073671535,155.97038,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,8/2/2007,2007,214,2007,33,22.05,15.240001,100,68.395966,9,1.69,25.809122,577.82556,1,18.484201,0.08650679,,184.40166,,0,,0.53428674,20.34871,0.7250927,0.2749073,0,0,0.2749073,0,,0.08650679,184.40166,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,8/3/2007,2007,215,2007,34,21.9,14.47,100,64.66859,9,0.62,26.514183,595.45294,1,19.048088,0.100881994,,217.49365,,0,,0.5208513,20.86956,0.72112125,0.27887875,0,0,0.27887875,0,,0.100881994,217.49365,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,8/4/2007,2007,216,2007,35,21.78,14.97,100,68.35249,9,2.01,25.81092,613.29706,1,19.618908,0.11755526,,255.49371,,0,,0.51454675,21.384108,0.71884644,0.28115353,0,0,0.28115353,0,,0.11755526,255.49371,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,8/5/2007,2007,217,2007,36,22.57,14.919999,100,63.490166,9,2.37,26.758183,631.5494,1,20.202785,0.13702944,,302.46487,,0,,0.5815215,21.96563,0.7176106,0.28238937,0,0,0.28238937,0,,0.13702944,302.46487,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,8/6/2007,2007,218,2007,37,21.48,15.55,100,73.88068,11,2.06,24.7546,649.5502,1,20.778618,0.1588243,,352.1364,,0,,0.6936988,22.659328,0.7098877,0.28587446,0.004237848,0,0.29011232,0.004237848,,0.1588243,352.1364,0,,0,0,0,0
39.2489257812503_12.7061385542056,Generic,8/7/2007,2007,219,2007,38,20.28,15.2,100,79.3182,13,3.4699998,23.656094,666.65204,1,21.325693,0.18205775,,403.8303,,0,,0.65784216,23.317171,0.68952566,0.30026492,0.010209419,0,0.31047434,0.010209419,,0.18097152,403.52185,0,,0.005966425,0,0.0042378306,0.1059462
39.2489257812503_12.7061385542056,Generic,8/8/2007,2007,220,2007,39,20.14,13.87,100,71.23716,11,0.36,25.170963,682.83594,1,21.843403,0.20639975,,462.84167,,0,,0.64104295,23.958214,0.6709001,0.31632134,0.012778591,0,0.32909992,0.012778591,,0.20343666,461.68607,0,,0.014356136,0,0.010209441,0.25523546
39.2489257812503_12.7061385542056,Generic,8/9/2007,2007,221,2007,40,20.23,14.43,100,74.35499,11,8.01,24.590416,699.433,1,22.37433,0.23378024,,529.8066,,0,,0.6312008,24.589415,0.6575657,0.32748482,0.014949439,0,0.34243426,0.014949439,,0.22958171,527.4483,0,,0.017959237,0,0.01277858,0.31946477
39.2489257812503_12.7061385542056,Generic,8/10/2007,2007,222,2007,41,20.95,14.420001,100,69.88669,11,7.76,25.480091,716.46826,1,22.919277,0.26440576,,610.35626,,0,,0.5269053,25.11632,0.6467209,0.3311058,0.02217329,0,0.35327908,0.02217329,,0.25885302,606.3064,0,,0.021000803,0,0.014949441,0.37373596
39.2489257812503_12.7061385542056,Generic,8/11/2007,2007,223,2007,42,21.84,14.75,100,66.6671,9,9.16,26.128426,734.22174,1,23.487196,0.29893166,,707.6783,,0,,0,25.571798,0.6463165,0.3294138,0.024269683,0,0.35368347,0.024269683,,0.2896342,700.60144,0,,0.0311023,0,0.022173285,0.55433226
39.2489257812503_12.7061385542056,Generic,8/12/2007,2007,224,2007,43,23.24,13.86,97.771416,54.329647,5,2.19,28.548561,752.2613,1,24.064268,0.33652142,,829.31525,,0,,0,26.059055,0.6520871,0.32154724,0.026365655,0,0.3479129,0.026365655,,0.32507023,818.0993,0,,0.034028113,0,0.0242697,0.6067421
39.2489257812503_12.7061385542056,Generic,8/13/2007,2007,225,2007,44,23.09,14.46,99.7516,58.15224,7,4.6,27.78859,770.54584,1,24.649176,0.37685424,,963.7055,,0,,0,26.561613,0.6529946,0.3163631,0.030642323,0,0.34700543,0.030642323,,0.36292922,947.52374,0,,0.036950707,0,0.026365638,0.65914136
39.2489257812503_12.7061385542056,Generic,8/14/2007,2007,226,2007,45,21.939999,14.089999,100,62.267963,7,2.5,26.962322,787.97534,1,25.206734,0.4169673,,1101.2324,,0,,0.739848,27.30146,0.6478786,0.3176752,0.034446217,0,0.3521214,0.034446217,,0.39907682,1079.1499,0,,0.042906165,0,0.03064233,0.7660581
39.2489257812503_12.7061385542056,Generic,8/15/2007,2007,227,2007,46,19.649998,14.339999,100,77.42167,13,6.1,23.94757,804.14636,1,25.724033,0.45520625,,1224.9554,,0,,0.5947563,27.896217,0.6146926,0.33863804,0.046669345,0,0.38530737,0.046669345,,0.43326792,1196.9103,0,,0.04819423,0,0.03444624,0.86115545
39.2489257812503_12.7061385542056,Generic,8/16/2007,2007,228,2007,47,21.34,15.28,100,72.99962,11,5.86,24.896164,821.9169,1,26.292498,0.4978276,,1379.5359,,0,,0,28.32865,0.59082496,0.3580768,0.051098205,0,0.409175,0.051098205,,0.46540475,1341.4231,0,,0.065128684,0,0.046669364,1.1667336
39.2489257812503_12.7061385542056,Generic,8/17/2007,2007,229,2007,48,24.04,14.8,97.78232,55.026745,5,5.34,28.388504,840.86285,1,26.898565,0.54328805,,1584.6206,,0,,0,28.760706,0.5941417,0.35872754,0.047130723,0,0.40585828,0.047130723,,0.5045827,1531.897,0,,0.07124281,0,0.051098228,1.2774551
39.2489257812503_12.7061385542056,Generic,8/18/2007,2007,230,2007,49,24.82,14.669999,95.0208,50.606655,5,1.6300001,29.266403,860.11755,1,27.51451,0.58875793,,1817.4761,,0,,0,29.244152,0.5990935,0.34975755,0.051148944,0,0.4009065,0.051148944,,0.5500376,1749.4385,0,,0.065766096,0,0.047130704,1.1782681
39.2489257812503_12.7061385542056,Generic,8/19/2007,2007,231,2007,50,22.57,14.73,100,62.413692,7,3.1400003,26.92651,878.26685,1,28.09509,0.63028616,,2033.6589,,0,,0.8056062,30.049759,0.59101653,0.35251856,0.056464877,0,0.40898344,0.056464877,,0.5853387,1950.2047,0,,0.071312726,0,0.05114895,1.2787236
39.2489257812503_12.7061385542056,Generic,8/20/2007,2007,232,2007,51,19.39,14.93,100,83.38926,15,4.08,22.761526,894.6492,1,28.61915,0.6662019,,2208.0103,,0,,0.8483796,30.898138,0.54561293,0.39134577,0.063041285,0,0.45438707,0.063041285,,0.61381453,2110.846,0,,0.07863587,0,0.05646485,1.4116219
39.2489257812503_12.7061385542056,Generic,8/21/2007,2007,233,2007,52,18.66,14.34,100,83.980576,15,5.33,22.554123,910.1706,1,29.115667,0.6985464,,2379.6416,,0,,0.54649895,31.444637,0.49910903,0.41272727,0.08816369,0,0.500891,0.08816369,,0.63730335,2267.43,0,,0.087672114,0,0.06304127,1.5760322
39.2489257812503_12.7061385542056,Generic,8/22/2007,2007,234,2007,53,21.39,14.169999,100,65.79319,9,3.19,26.222046,927.3207,1,29.664284,0.73211575,,2610.7183,,0,,1,32.444637,0.47304094,0.42280915,0.1041499,0,0.52695906,0.1041499,,0.642833,2470.3264,0,,0.1219517,0,0.088163674,2.2040923
39.2489257812503_12.7061385542056,Generic,8/23/2007,2007,235,2007,54,18.68,14.970001,100,88.68995,21,4.75,21.62249,943.27124,1,30.174532,0.76112217,,2794.956,,0,,0,32.946503,0.41089088,0.46850398,0.12060516,0,0.5891091,0.12060516,,0.6518514,2628.114,0,,0.1435653,0,0.10414988,2.6037476
39.2489257812503_12.7061385542056,Generic,8/24/2007,2007,236,2007,55,22.84,13.860001,98.921974,56.315647,7,3.19,28.072067,961.08716,1,30.744448,0.7908813,,3072.567,,0,,0,33.40657,0.3950866,0.46633005,0.13858335,0,0.6049134,0.13858335,,0.65987265,2859.739,0,,0.16564888,0,0.12060517,3.015129
39.2489257812503_12.7061385542056,Generic,8/25/2007,2007,237,2007,56,23.31,15.36,100,61.832355,7,1.94,26.993881,979.94965,1,31.347847,0.8193158,,3365.3582,,0,,0,33.890507,0.37859195,0.4836834,0.13772464,0,0.62140805,0.13772464,,0.6639869,3097.022,0,,0.1895836,0,0.13858336,3.4645836
39.2489257812503_12.7061385542056,Generic,8/26/2007,2007,238,2007,57,22.64,14.700001,100,61.860172,7,6.2,26.972275,998.1207,1,31.929123,0.8437686,,3655.6035,,0,,0,34.32191,0.37704325,0.47335958,0.14959715,0,0.62295675,0.14959715,,0.6847646,3332.572,0,,0.18844497,0,0.13772464,3.443116
39.2489257812503_12.7061385542056,Generic,8/27/2007,2007,239,2007,58,24.439999,14.7699995,96.46786,52.89806,5,6.58,28.717373,1017.24457,1,32.540882,0.8665192,,3989.5994,,0,,0.574738,34.89665,0.3633169,0.47268596,0.16399711,0,0.6366831,0.16399711,,0.68962264,3598.3838,0,,0.20414615,0,0.14959717,3.7399287
39.2489257812503_12.7061385542056,Generic,8/28/2007,2007,240,2007,59,21.88,15.550001,100,71.36513,11,4.12,25.132687,1035.4645,1,33.123722,0.8855244,,4274.196,,0,,0.66141075,35.55806,0.31828332,0.4986642,0.18305248,0,0.6817167,0.18305248,,0.6879907,3819.495,0,,0.22306973,0,0.16399711,4.099928
39.2489257812503_12.7061385542056,Generic,8/29/2007,2007,241,2007,60,20.81,15.640001,100,78.86881,13,5.71,23.665403,1053.138,1,33.689083,0.90166396,,4538.8765,,0,,0.7284473,36.286507,0.26511204,0.5276676,0.20722039,0,0.73488796,0.20722039,,0.67813545,4018.5596,0,,0.24790668,0,0.18305248,4.576312
