site,variety,Date,year,doy,GrowingSeason,das,Tmax,Tmin,Prec,Rad,gdd,phenoCode,cyclePerc,lightInt,lightIntRef,agb,agbRef,yield,yieldRef,htTimeR,htTimeS,susceptible,latent,sporulating,dead,affected,disSev,disSevRef,lightIntHealthy,agbHealthy,yieldHealthy,lightSteal,senAccel,RUEreduce,assimilateSap
Burmerange,Dekan,10/4/2002,2002,277,2002,1,13.860001,8.201001,1.3111532,9.75,7.333054,1,0.3936001,0.0007052486,,0.031031968,,0,,0.005801787,0.005801787,0,0,0,0,0,0,,0.0007052486,0.031031968,0,0,0,0,0
Burmerange,Dekan,10/5/2002,2002,278,2002,2,11.896,7.952,5.991039,4.44,13.103815,1,0.70334446,0.0007656344,,0.04310496,,0,,0,0.005801787,1,0,0,0,0,0,,0.0007656344,0.04310496,0,0,0,0,0
Burmerange,Dekan,10/6/2002,2002,279,2002,3,11.076,5.4640007,3.9683342,6.93,16.753847,1,0.8992591,0.00080646895,,0.05565934,,0,,0,0.005801787,1,0,0,0,0,0,,0.00080646895,0.05565934,0,0,0,0,0
Burmerange,Dekan,10/7/2002,2002,280,2002,4,10.014,2.0500002,0,10.91,18.153793,1,0.9744009,0.00082270184,,0.06339248,,0,,0,0.005801787,1,0,0,0,0,0,,0.00082270184,0.06339248,0,0,0,0,0
Burmerange,Dekan,10/8/2002,2002,281,2002,5,9.812,4.299,0,8.75,20.477293,1,1.0991143,0.0008503675,,0.07403232,,0,,0,0.005801787,1,0,0,0,0,0,,0.0008503675,0.07403232,0,0,0,0,0
Burmerange,Dekan,10/9/2002,2002,282,2002,6,12.131,2.788,0,12.63,23.216501,1,1.2461407,0.00088417914,,0.09285781,,0,,0,0.005801787,1,0,0,0,0,0,,0.00088417914,0.09285781,0,0,0,0,0
Burmerange,Dekan,10/10/2002,2002,283,2002,7,12.314,4.631,0,11.17,27.108717,1,1.4550545,0.00093454577,,0.117862895,,0,,0,0.005801787,1,0,0,0,0,0,,0.00093454577,0.117862895,0,0,0,0,0
Burmerange,Dekan,10/11/2002,2002,284,2002,8,8.916,4.387,0,7.6099997,29.044508,1,1.5589577,0.00096065307,,0.12657228,,0,,0,0.005801787,1,0,0,0,0,0,,0.00096065307,0.12657228,0,0,0,0,0
Burmerange,Dekan,10/12/2002,2002,285,2002,9,8.595,5.142,0,4.22,31.184954,1,1.6738455,0.0009903702,,0.13207772,,0,,0,0.005801787,1,0,0,0,0,0,,0.0009903702,0.13207772,0,0,0,0,0
Burmerange,Dekan,10/13/2002,2002,286,2002,10,9.514,6.9669995,0,4.07,34.800167,1,1.8678914,0.0010426611,,0.1415194,,0,,0,0.005801787,1,0,0,0,0,0,,0.0010426611,0.1415194,0,0,0,0,0
Burmerange,Dekan,10/14/2002,2002,287,2002,11,10.17,7.59,0,4.32,39.19576,1,2.103824,0.0011099688,,0.15449087,,0,,0.25718406,0.26298586,1,0,0,0,0,0,,0.0011099688,0.15449087,0,0,0,0,0
Burmerange,Dekan,10/15/2002,2002,288,2002,12,14.043,6.4970007,3.1311512,5.69,45.445236,1,2.4392633,0.0012132031,,0.18104103,,0,,0.29541373,0.55839956,1,0,0,0,0,0,,0.0012132031,0.18104103,0,0,0,0,0
Burmerange,Dekan,10/16/2002,2002,289,2002,13,14,8.467,6.00338,4.27,53.073574,1,2.8487124,0.0013522962,,0.20814964,,0,,0,0.55839956,1,0,0,0,0,0,,0.0013522962,0.20814964,0,0,0,0,0
Burmerange,Dekan,10/17/2002,2002,290,2002,14,9.594,5.1240005,10.081426,4.2,55.706856,1,2.9900534,0.0014039194,,0.21770543,,0,,0,0.55839956,1,0,0,0,0,0,,0.0014039194,0.21770543,0,0,0,0,0
Burmerange,Dekan,10/18/2002,2002,291,2002,15,7.204,3.4710002,8.033919,4.3,56.597904,1,3.0378802,0.0014218295,,0.22105813,,0,,0,0.55839956,1,0,0,0,0,0,,0.0014218295,0.22105813,0,0,0,0,0
Burmerange,Dekan,10/19/2002,2002,292,2002,16,6.65,0.8210001,0,6.2,56.734657,1,3.0452204,0.0014245984,,0.22180149,,0,,0,0.55839956,1,0,0,0,0,0,,0.0014245984,0.22180149,0,0,0,0,0
