Site,Variety,Date,Year,Doy,GrowingSeason,DaysAfterSowing,Tmax,Tmin,RHmax,RHmin,LW,Prec,Rad,GrowingDegreeDays,PhenoCode,CyclePercentage,LightInterception,LightInterceptionRef,AGBattainable,AGBRef,YieldAttainable,YieldRef,HTtimeRinoculum,HTtimeSinoculum,OuterInoculum, FirstInfection, HTtimeRinfection, Susceptible,Latent,Sporulating,Dead,Affected,DiseaseSeverity,DiseaseSeverityRef,LightIntHealthy,AGBactual,YieldActual,YieldActualRef,LightStealers,SenAccelerator,RUEReducers,AssimilateSappers,FungicidePotentialDegradation,FungicideActualDegradation,FungicideTenacityFunction,FungicideConcentrationFactor,FungicideEfficacy
FIJO0QXX,Generic,5/6/1980,1980,127,1980,1,15.300001,-0.9000001,75.616554,24.90692,0,0,23.6,2.583945,1,0.07014495,0.25361785,,6.024575,,0,,0,0,0,0,0,1,0,0,0,0,0,,0.25361785,6.024575,0,,0,0,0,0,0,0,0,0,0
FIJO0QXX,Generic,5/7/1980,1980,128,1980,2,13.9,0.5,80.29926,32.055977,0,0,23.8,5.1678886,1,0.14028987,0.25411934,0,12.112217,10,0,0,0,0,0,0,0,1,0,0,0,0,0,,0.25411934,12.112217,0,,0,0,0,0,0,0,0,0,0
FIJO0QXX,Generic,5/8/1980,1980,129,1980,3,11.1,2,85.33464,45.60149,0,4,8.7,7.110471,1,0.19302408,0.2544968,0,13.78767,10,0,0,0,0,0,0,0,1,0,0,0,0,0,,0.2544968,13.78767,0,,0,0,0,0,0,0,0,0,0
FIJO0QXX,Generic,5/9/1980,1980,130,1980,4,7.6,2.1,84.65412,57.665573,0,0.3,9.3,7.751994,1,0.21043918,0.25462154,0,14.379425,10,0,0,0,0,0,0,0,1,0,0,0,0,0,,0.25462154,14.379425,0,,0,0,0,0,0,0,0,0,0
FIJO0QXX,Generic,5/10/1980,1980,131,1980,5,7.3,0.5,80.362175,49.807438,0,0.8000001,15.699999,7.950516,1,0.21582834,0.25466016,0,14.688612,10,0,0,0,0,0,0,0,1,0,0,0,0,0,,0.25466016,14.688612,0,,0,0,0,0,0,0,0,0,0
FIJO0QXX,Generic,5/11/1980,1980,132,1980,6,8.5,-2.6999998,73.06698,33.00692,0,0,24.2,7.9523435,1,0.21587794,0.25466052,0,14.692998,10,0,0,0,0,0,0,0,1,0,0,0,0,0,,0.25466052,14.692998,0,,0,0,0,0,0,0,0,0,0
FIJO0QXX,Generic,5/12/1980,1980,133,1980,7,7.7,-3.1999998,71.457275,32.83866,0,0,16.7,7.9523435,1,0.21587794,0.25466052,0,14.692998,10,0,0,0,0,0,0,0,1,0,0,0,0,0,,0.25466052,14.692998,0,,0,0,0,0,0,0,0,0,0
FIJO0QXX,Generic,5/13/1980,1980,134,1980,8,9.7,-3.3000002,71.956894,28.668325,0,0,22.3,7.9807596,1,0.21664935,0.25466603,0,14.75586,10,0,0,0,0,0,0,0,1,0,0,0,0,0,,0.25466603,14.75586,0,,0,0,0,0,0,0,0,0,0
FIJO0QXX,Generic,5/14/1980,1980,135,1980,9,15.5,2.0311752E-10,77.642166,26.960186,0,0,25.600002,11.159689,1,0.302946,0.25528476,0,22.848627,10,0,0,0,0,0,0,0,1,0,0,0,0,0,,0.25528476,22.848627,0,,0,0,0,0,0,0,0,0,0
FIJO0QXX,Generic,5/15/1980,1980,136,1980,10,18.2,1.8999996,78.80504,26.438824,0,0,21.9,17.235584,1,0.46788505,0.25647017,0,36.142227,10,0,0,0.052748658,0.052748658,0,0,0,1,0,0,0,0,0,,0.25647017,36.142227,0,,0,0,0,0,0,0,0,0,0
