Site,Variety,Date,Year,Doy,GrowingSeason,DaysAfterSowing,Tmax,Tmin,RHmax,RHmin,LW,Prec,Rad,GrowingDegreeDays,PhenoCode,CyclePercentage,LightInterception,LightInterceptionRef,AGBattainable,AGBRef,YieldAttainable,YieldRef,HTtimeRinoculum,HTtimeSinoculum,OuterInoculum, FirstInfection, HTtimeRinfection, Susceptible,Latent,Sporulating,Dead,Affected,DiseaseSeverity,DiseaseSeverityRef,LightIntHealthy,AGBactual,YieldActual,YieldActualRef,LightStealers,SenAccelerator,RUEReducers,AssimilateSappers,FungicidePotentialDegradation,FungicideActualDegradation,FungicideTenacityFunction,FungicideConcentrationFactor,FungicideEfficacy
Policoro,Generic,11/19/1980,1980,324,1980,0,19,11.200001,100,61.36005,7,4.7,5.8,0,0,0,0,,10,,0,,0.83492327,0.83492327,0.07,11/19/1980 12:00:00 AM,0.83492327,1,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
Policoro,Generic,11/20/1980,1980,325,1980,0,15,9.200001,100,69.782745,9,0,8.5,0,0,0.48076925,0,,10,,0,,0.873172,1.7080953,0.07,11/19/1980 12:00:00 AM,0.873172,1,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
Policoro,Generic,11/21/1980,1980,326,1980,0,17.4,10.6,100,66.06997,9,0,8.1,0,0,0.9615385,0,,10,,0,,0.93201363,2.640109,0.07,11/19/1980 12:00:00 AM,0.93201363,1,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
Policoro,Generic,11/22/1980,1980,327,1980,0,18.1,11.7,100,69.157005,9,0,8.2,0,0,1.4423077,0,,10,,0,,0.89299875,3.5331078,0.07,11/19/1980 12:00:00 AM,0.89299875,1,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
Policoro,Generic,11/23/1980,1980,328,1980,0,16.8,10.5,100,68.63481,9,0,6.6000004,0,0,1.923077,0,,10,,0,,0.8494712,4.382579,0.07,11/19/1980 12:00:00 AM,0.8494712,1,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
Policoro,Generic,11/24/1980,1980,329,1980,0,19.1,11.800001,100,64.324936,9,0,7.9000006,0,0,2.4038463,0,,10,,0,,0.9142674,5.2968464,0.07,11/19/1980 12:00:00 AM,0.9142674,1,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
Policoro,Generic,11/25/1980,1980,330,1980,0,17.4,11.1,100,69.20577,9,0,7,0,0,2.8846154,0,,10,,0,,0.84132934,6.138176,0.07,11/19/1980 12:00:00 AM,0.84132934,1,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
Policoro,Generic,11/26/1980,1980,331,1980,0,18,10.9,100,64.749435,9,0,7.4,0,0,3.3653848,0,,10,,0,,1,7.138176,0.07,11/19/1980 12:00:00 AM,1,1,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
Policoro,Generic,11/27/1980,1980,332,1980,0,18.1,10.2,100,60.172863,24,21.3,2.5,0,0,3.846154,0,,10,,0,,1,8.138176,0.07,11/19/1980 12:00:00 AM,1,1,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
Policoro,Generic,11/28/1980,1980,333,1980,0,12.5,8.9,100,81.36822,24,5,2.9,0,0,4.3269234,0.023916613,,10.581001,,0,,0.49278933,8.630965,0.07,11/19/1980 12:00:00 AM,0,0.9983258,0.0016741629,0,0,0.0016741629,0,,0.023916613,0.5810013,0,,0,0,0,0,0,0,0,0,0
Policoro,Generic,11/29/1980,1980,334,1980,0,14.4,6.9,96.616135,58.617638,5,2.5,4,0,0,4.8076925,0.027010031,,11.481804,,0,,0.5495353,9.1805,0.07,11/19/1980 12:00:00 AM,0,0.9985176,0.0014824236,0,0,0.0014824236,0,,0.027010031,1.4818039,0,,0,0,0,0,0,0,0,0,0
Policoro,Generic,11/30/1980,1980,335,1980,0,10.3,6.1,96.22569,72.3396,7,0,1.5,0,0,5.2884617,0.030282108,,11.773404,,0,,0.620521,9.801021,0.07,11/19/1980 12:00:00 AM,0.620521,0.99867773,0.0013222431,0,0,0.0013222431,0,,0.030282108,1.7734041,0,,0,0,0,0,0,0,0,0,0
Policoro,Generic,12/1/1980,1980,336,1980,0,10.5,6.4,97.04463,73.49362,9,3.6,2,0,0,5.769231,0.032377534,,12.20178,,0,,0.90750736,10.708528,0.07,11/19/1980 12:00:00 AM,0.90750736,0.9973588,0.0026411756,0,0,0.0026411756,0,,0.032377534,2.2017803,0,,0,0,0,0,0,0,0,0,0
Policoro,Generic,12/2/1980,1980,337,1980,0,11,5.6000004,94.86224,65.749825,24,5.6,5.1,0,0,6.25,0.034682166,,13.351124,,0,,0.5662502,11.274777,0.07,11/19/1980 12:00:00 AM,0,0.99533695,0.0046630525,0,0,0.0046630525,0,,0.034682166,3.3511238,0,,0,0,0,0,0,0,0,0,0
Policoro,Generic,12/3/1980,1980,338,1980,0,11.7,6.1,96.0762,65.81296,7,0,5.9,0,0,6.7307696,0.036990266,,14.871758,,0,,0.07154758,11.346325,0.07,11/19/1980 12:00:00 AM,0,0.99562794,0.0043720896,0,0,0.0043720896,0,,0.036990266,4.8717585,0,,0,0,0,0,0,0,0,0,0
Policoro,Generic,12/4/1980,1980,339,1980,0,10.7,3.0999997,88.23753,52.363777,0,2.3,2.9,0,0,7.2115383,0.039729517,,15.494139,,0,,0.0031181932,11.349443,0.07,11/19/1980 12:00:00 AM,0,0.99592936,0.004070645,0,0,0.004070645,0,,0.039729517,5.4941387,0,,0,0,0,0,0,0,0,0,0
Policoro,Generic,12/5/1980,1980,340,1980,0,8.6,1.3999999,83.39365,50.479256,0,0,6.1,0,0,7.692308,0.04144661,,16.483793,,0,,0.5869553,11.9363985,0.07,11/19/1980 12:00:00 AM,0,0.996098,0.0039020022,0,0,0.0039020022,0,,0.04144661,6.4837933,0,,0,0,0,0,0,0,0,0,0
Policoro,Generic,12/6/1980,1980,341,1980,0,12.2,6.4000006,96.71876,65.44559,7,2.1,6.8,0,0,8.173077,0.04235603,,18.580814,,0,,1,12.9363985,0.07,11/19/1980 12:00:00 AM,1,0.9961818,0.003818223,0,0,0.003818223,0,,0.04235603,8.580814,0,,0,0,0,0,0,0,0,0,0
Policoro,Generic,12/7/1980,1980,342,1980,0,14.1,8.800001,100,71.84661,24,7.0999994,4.5,0,0,8.653847,0.045561302,,20.418661,,0,,0,12.9363985,0.07,11/19/1980 12:00:00 AM,0,0.99327326,0.0058478992,0.0008788227,0,0.006726722,0.0008788227,,0.045561302,10.418661,0,,0,0,0,0,0,0,0,0,0
Policoro,Generic,12/8/1980,1980,343,1980,0,9.8,0.10000038,80.42604,40.879402,0,1.8,7.6,0,0,9.134615,0.050499,,21.905954,,0,,0.095758215,13.032157,0.07,11/19/1980 12:00:00 AM,0,0.993931,0.0052761026,0.0007928931,0,0.0060689957,0.0007928931,,0.05045462,11.893249,0,,0.0008788109,0,0.0017568469,0.008788227,0,0,0,0,0
Policoro,Generic,12/9/1980,1980,344,1980,0,4.4,-0.099999905,76.00347,55.128407,24,6,6.4000006,0,0,9.615385,0.051488347,,22.46061,,0,,0.036239445,13.068397,0.07,11/19/1980 12:00:00 AM,0,0.9940475,0.005174826,0.00077765767,0,0.0059524835,0.00077765767,,0.051447522,12.438657,0,,0.0007929206,0,0.0015851855,0.007928931,0,0,0,0,0
