site,variety,Date,year,doy,GrowingSeason,das,Tmax,Tmin,Prec,Rad,gdd,phenoCode,cyclePerc,lightInt,lightIntRef,agb,agbRef,yield,yieldRef,htTimeR,htTimeS,susceptible,latent,sporulating,dead,affected,disSev,disSevRef,lightIntHealthy,agbHealthy,yieldHealthy,lightSteal,senAccel,RUEreduce,assimilateSap
SchleswigHolstein,Generic,12/10/1996,1996,345,1996,1,0.776,-0.829,0,1.06,0,1,0,0.024291689,,0,,0,,0,0,0,0,0,0,0,0,,0.024291689,0,0,0,0,0,0
SchleswigHolstein,Generic,12/11/1996,1996,346,1996,2,0.21900001,-0.955,0,0.99,0,1,0,0.024291689,,0,,0,,0,0,1,0,0,0,0,0,,0.024291689,0,0,0,0,0,0
SchleswigHolstein,Generic,12/12/1996,1996,347,1996,3,2.874,-0.80999994,0,0.81000006,0.0054474603,1,0.00045222873,0.024293175,,4.119159E-05,,0,,0,0,1,0,0,0,0,0,,0.024293175,4.119159E-05,0,0,0,0,0
SchleswigHolstein,Generic,12/13/1996,1996,348,1996,4,3.4169998,-4.606,0,2.69,0.0054474603,1,0.00045222873,0.024293175,,4.119159E-05,,0,,0,0,1,0,0,0,0,0,,0.024293175,4.119159E-05,0,0,0,0,0
SchleswigHolstein,Generic,12/14/1996,1996,349,1996,5,4.462,-4.125,4.6371994,1.95,0.0054474603,1,0.00045222873,0.024293175,,4.119159E-05,,0,,0.022085372,0.022085372,1,0,0,0,0,0,,0.024293175,4.119159E-05,0,0,0,0,0
SchleswigHolstein,Generic,12/15/1996,1996,350,1996,6,6.574,-4.216,4.104349,2.03,0.014635391,1,0.0012149778,0.024295678,,0.00021532731,,0,,0,0.022085372,1,0,0,0,0,0,,0.024295678,0.00021532731,0,0,0,0,0
SchleswigHolstein,Generic,12/16/1996,1996,351,1996,7,4.007,-4.944,0,1.86,0.014635391,1,0.0012149778,0.024295678,,0.00021532731,,0,,0,0.022085372,1,0,0,0,0,0,,0.024295678,0.00021532731,0,0,0,0,0
SchleswigHolstein,Generic,12/17/1996,1996,352,1996,8,4.455,2.433,0,0.61,0.31222993,1,0.025920214,0.02437685,,0.0019158309,,0,,0,0.022085372,1,0,0,0,0,0,,0.02437685,0.0019158309,0,0,0,0,0
SchleswigHolstein,Generic,12/18/1996,1996,353,1996,9,3.451,2.077,2.545513,0.9,0.4681541,1,0.038864482,0.02441949,,0.003232685,,0,,0,0.022085372,1,0,0,0,0,0,,0.02441949,0.003232685,0,0,0,0,0
SchleswigHolstein,Generic,12/19/1996,1996,354,1996,10,1.898,-0.82400006,0,1.85,0.46831807,1,0.038878094,0.024419539,,0.0032355315,,0,,0,0.022085372,1,0,0,0,0,0,,0.024419539,0.0032355315,0,0,0,0,0
SchleswigHolstein,Generic,12/20/1996,1996,355,1996,11,-0.9029999,-3.341,0,1.88,0.46831807,1,0.038878094,0.024419539,,0.0032355315,,0,,0,0.022085372,1,0,0,0,0,0,,0.024419539,0.0032355315,0,0,0,0,0
SchleswigHolstein,Generic,12/21/1996,1996,356,1996,12,-1.2670001,-4.814,0,2.62,0.46831807,1,0.038878094,0.024419539,,0.0032355315,,0,,0,0.022085372,1,0,0,0,0,0,,0.024419539,0.0032355315,0,0,0,0,0
SchleswigHolstein,Generic,12/22/1996,1996,357,1996,13,0.9890001,-1.691,0,1.77,0.46831807,1,0.038878094,0.024419539,,0.0032355315,,0,,0,0.022085372,1,0,0,0,0,0,,0.024419539,0.0032355315,0,0,0,0,0
SchleswigHolstein,Generic,12/23/1996,1996,358,1996,14,-0.74399996,-5.351,0,2.13,0.46831807,1,0.038878094,0.024419539,,0.0032355315,,0,,0,0.022085372,1,0,0,0,0,0,,0.024419539,0.0032355315,0,0,0,0,0
SchleswigHolstein,Generic,12/24/1996,1996,359,1996,15,-0.08699989,-7.548,0,1.44,0.46831807,1,0.038878094,0.024419539,,0.0032355315,,0,,0,0.022085372,1,0,0,0,0,0,,0.024419539,0.0032355315,0,0,0,0,0
SchleswigHolstein,Generic,12/25/1996,1996,360,1996,16,-1.7369998,-6.8889995,0,2.36,0.46831807,1,0.038878094,0.024419539,,0.0032355315,,0,,0,0.022085372,1,0,0,0,0,0,,0.024419539,0.0032355315,0,0,0,0,0
SchleswigHolstein,Generic,12/26/1996,1996,361,1996,17,-3.8129997,-9.437,0,2.62,0.46831807,1,0.038878094,0.024419539,,0.0032355315,,0,,0,0.022085372,1,0,0,0,0,0,,0.024419539,0.0032355315,0,0,0,0,0
SchleswigHolstein,Generic,12/27/1996,1996,362,1996,18,-3.1859999,-7.776,0,1.48,0.46831807,1,0.038878094,0.024419539,,0.0032355315,,0,,0,0.022085372,1,0,0,0,0,0,,0.024419539,0.0032355315,0,0,0,0,0
SchleswigHolstein,Generic,12/28/1996,1996,363,1996,19,-5.163,-9.645,0,2.72,0.46831807,1,0.038878094,0.024419539,,0.0032355315,,0,,0,0.022085372,1,0,0,0,0,0,,0.024419539,0.0032355315,0,0,0,0,0
SchleswigHolstein,Generic,12/29/1996,1996,364,1996,20,1.1989999,-3.422,0,1.96,0.46831807,1,0.038878094,0.024419539,,0.0032355315,,0,,0,0.022085372,1,0,0,0,0,0,,0.024419539,0.0032355315,0,0,0,0,0
SchleswigHolstein,Generic,12/30/1996,1996,365,1996,21,-1.1389999,-3.276,1.3827932,1.19,0.46831807,1,0.038878094,0.024419539,,0.0032355315,,0,,0,0.022085372,1,0,0,0,0,0,,0.024419539,0.0032355315,0,0,0,0,0
SchleswigHolstein,Generic,12/31/1996,1996,366,1996,22,-3.0929997,-5.3559995,2.0437615,1.73,0.46831807,1,0.038878094,0.024419539,,0.0032355315,,0,,0,0.022085372,1,0,0,0,0,0,,0.024419539,0.0032355315,0,0,0,0,0
SchleswigHolstein,Generic,1/1/1997,1997,1,1996,23,-5.4870005,-8.8,0,2.9,0.46831807,1,0.038878094,0.024419539,,0.0032355315,,0,,0,0.022085372,1,0,0,0,0,0,,0.024419539,0.0032355315,0,0,0,0,0
SchleswigHolstein,Generic,1/2/1997,1997,2,1996,24,-6.0960007,-9.75,0,1.21,0.46831807,1,0.038878094,0.024419539,,0.0032355315,,0,,0,0.022085372,1,0,0,0,0,0,,0.024419539,0.0032355315,0,0,0,0,0
SchleswigHolstein,Generic,1/3/1997,1997,3,1996,25,-2.2270002,-9.809,0,2.56,0.46831807,1,0.038878094,0.024419539,,0.0032355315,,0,,0,0.022085372,1,0,0,0,0,0,,0.024419539,0.0032355315,0,0,0,0,0
SchleswigHolstein,Generic,1/4/1997,1997,4,1996,26,-2.3129997,-7.609,0,2.81,0.46831807,1,0.038878094,0.024419539,,0.0032355315,,0,,0,0.022085372,1,0,0,0,0,0,,0.024419539,0.0032355315,0,0,0,0,0
SchleswigHolstein,Generic,1/5/1997,1997,5,1996,27,-4.4380007,-7.783,0,2.22,0.46831807,1,0.038878094,0.024419539,,0.0032355315,,0,,0,0.022085372,1,0,0,0,0,0,,0.024419539,0.0032355315,0,0,0,0,0
SchleswigHolstein,Generic,1/6/1997,1997,6,1996,28,-4.307,-7.032,0,1.42,0.46831807,1,0.038878094,0.024419539,,0.0032355315,,0,,0,0.022085372,1,0,0,0,0,0,,0.024419539,0.0032355315,0,0,0,0,0
SchleswigHolstein,Generic,1/7/1997,1997,7,1996,29,-0.75699997,-5.449,0,2.2,0.46831807,1,0.038878094,0.024419539,,0.0032355315,,0,,0,0.022085372,1,0,0,0,0,0,,0.024419539,0.0032355315,0,0,0,0,0
SchleswigHolstein,Generic,1/8/1997,1997,8,1996,30,-2.9170003,-5.504,0,1.38,0.46831807,1,0.038878094,0.024419539,,0.0032355315,,0,,0,0.022085372,1,0,0,0,0,0,,0.024419539,0.0032355315,0,0,0,0,0
SchleswigHolstein,Generic,1/9/1997,1997,9,1996,31,-1.8709999,-5.444,0,1.22,0.46831807,1,0.038878094,0.024419539,,0.0032355315,,0,,0,0.022085372,1,0,0,0,0,0,,0.024419539,0.0032355315,0,0,0,0,0
SchleswigHolstein,Generic,1/10/1997,1997,10,1996,32,-2.4709997,-4.898,0,1.35,0.46831807,1,0.038878094,0.024419539,,0.0032355315,,0,,0,0.022085372,1,0,0,0,0,0,,0.024419539,0.0032355315,0,0,0,0,0
SchleswigHolstein,Generic,1/11/1997,1997,11,1996,33,-2.1100001,-6.381,0,1.94,0.46831807,1,0.038878094,0.024419539,,0.0032355315,,0,,0,0.022085372,1,0,0,0,0,0,,0.024419539,0.0032355315,0,0,0,0,0
SchleswigHolstein,Generic,1/12/1997,1997,12,1996,34,2.4950001,-5.935,0,0.89,0.46831807,1,0.038878094,0.024419539,,0.0032355315,,0,,0,0.022085372,1,0,0,0,0,0,,0.024419539,0.0032355315,0,0,0,0,0
SchleswigHolstein,Generic,1/13/1997,1997,13,1996,35,3.7129998,2.508,0,0.9,0.68959856,1,0.057248008,0.024480173,,0.005108995,,0,,0,0.022085372,1,0,0,0,0,0,,0.024480173,0.005108995,0,0,0,0,0
SchleswigHolstein,Generic,1/14/1997,1997,14,1996,36,3.991,0.72099996,0,2.89,0.7855367,1,0.06521245,0.024506502,,0.0077200467,,0,,0,0.022085372,1,0,0,0,0,0,,0.024506502,0.0077200467,0,0,0,0,0
SchleswigHolstein,Generic,1/15/1997,1997,15,1996,37,2.699,-1.237,0,3.3400002,0.78667283,1,0.065306775,0.02450682,,0.007755782,,0,,0,0.022085372,1,0,0,0,0,0,,0.02450682,0.007755782,0,0,0,0,0
SchleswigHolstein,Generic,1/16/1997,1997,16,1996,38,0.9109999,-4.107,0,2.67,0.78667283,1,0.065306775,0.02450682,,0.007755782,,0,,0,0.022085372,1,0,0,0,0,0,,0.02450682,0.007755782,0,0,0,0,0
SchleswigHolstein,Generic,1/17/1997,1997,17,1996,39,2.2329998,-4.531,0,3.54,0.78667283,1,0.065306775,0.02450682,,0.007755782,,0,,0,0.022085372,1,0,0,0,0,0,,0.02450682,0.007755782,0,0,0,0,0
SchleswigHolstein,Generic,1/18/1997,1997,18,1996,40,4.323,-0.5209999,0,1.37,0.83533883,1,0.06934685,0.024520185,,0.008384006,,0,,0,0.022085372,1,0,0,0,0,0,,0.024520185,0.008384006,0,0,0,0,0
SchleswigHolstein,Generic,1/19/1997,1997,19,1996,41,2.79,0.29500008,0,1.12,0.85957,1,0.071358435,0.02452684,,0.008639794,,0,,0,0.022085372,1,0,0,0,0,0,,0.02452684,0.008639794,0,0,0,0,0
SchleswigHolstein,Generic,1/20/1997,1997,20,1996,42,3.123,-0.569,0,1.53,0.8719549,1,0.072386585,0.024530247,,0.008818414,,0,,0,0.022085372,1,0,0,0,0,0,,0.024530247,0.008818414,0,0,0,0,0
SchleswigHolstein,Generic,1/21/1997,1997,21,1996,43,2.528,-0.99500006,0,2.65,0.87340015,1,0.07250656,0.024530651,,0.008854517,,0,,0,0.022085372,1,0,0,0,0,0,,0.024530651,0.008854517,0,0,0,0,0
SchleswigHolstein,Generic,1/22/1997,1997,22,1996,44,5.328,-1.7179999,0,2.87,0.91449136,1,0.07591781,0.024541944,,0.009966722,,0,,0,0.022085372,1,0,0,0,0,0,,0.024541944,0.009966722,0,0,0,0,0
SchleswigHolstein,Generic,1/23/1997,1997,23,1996,45,5.312,1.2839999,0,0.54,1.1770092,1,0.0977111,0.02461425,,0.011307584,,0,,0,0.022085372,1,0,0,0,0,0,,0.02461425,0.011307584,0,0,0,0,0
SchleswigHolstein,Generic,1/24/1997,1997,24,1996,46,1.395,-0.64199996,0,1.47,1.1770098,1,0.09771115,0.02461425,,0.0113075925,,0,,0,0.022085372,1,0,0,0,0,0,,0.02461425,0.0113075925,0,0,0,0,0
SchleswigHolstein,Generic,1/25/1997,1997,25,1996,47,2.909,-1.131,0,1.17,1.1799052,1,0.09795152,0.024615046,,0.011339636,,0,,0,0.022085372,1,0,0,0,0,0,,0.024615046,0.011339636,0,0,0,0,0
SchleswigHolstein,Generic,1/26/1997,1997,26,1996,48,1.8299999,-4.162,0,4.51,1.1799052,1,0.09795152,0.024615046,,0.011339636,,0,,0,0.022085372,1,0,0,0,0,0,,0.024615046,0.011339636,0,0,0,0,0
SchleswigHolstein,Generic,1/27/1997,1997,27,1996,49,1.388,-6.233,0,4.7,1.1799052,1,0.09795152,0.024615046,,0.011339636,,0,,0,0.022085372,1,0,0,0,0,0,,0.024615046,0.011339636,0,0,0,0,0
SchleswigHolstein,Generic,1/28/1997,1997,28,1996,50,5.13,0.24300003,0,2.86,1.3230658,1,0.109836206,0.024654562,,0.015218744,,0,,0,0.022085372,1,0,0,0,0,0,,0.024654562,0.015218744,0,0,0,0,0
SchleswigHolstein,Generic,1/29/1997,1997,29,1996,51,4.431,0.24399996,0,2.14,1.416694,1,0.11760888,0.024680443,,0.01711903,,0,,0,0.022085372,1,0,0,0,0,0,,0.024680443,0.01711903,0,0,0,0,0
SchleswigHolstein,Generic,1/30/1997,1997,30,1996,52,4.528,2.475,0,3.11,1.7288303,1,0.14352132,0.024766905,,0.026357953,,0,,0,0.022085372,1,0,0,0,0,0,,0.024766905,0.026357953,0,0,0,0,0
SchleswigHolstein,Generic,1/31/1997,1997,31,1996,53,4.533,-3.102,0,5.12,1.7298458,1,0.14360562,0.024767194,,0.026407434,,0,,0,0.022085372,1,0,0,0,0,0,,0.024767194,0.026407434,0,0,0,0,0
SchleswigHolstein,Generic,2/1/1997,1997,32,1996,54,1.81,-5.144,0,5.46,1.7298458,1,0.14360562,0.024767194,,0.026407434,,0,,0,0.022085372,1,0,0,0,0,0,,0.024767194,0.026407434,0,0,0,0,0
SchleswigHolstein,Generic,2/2/1997,1997,33,1996,55,1.359,-3.977,0,4.64,1.7298458,1,0.14360562,0.024767194,,0.026407434,,0,,0,0.022085372,1,0,0,0,0,0,,0.024767194,0.026407434,0,0,0,0,0
SchleswigHolstein,Generic,2/3/1997,1997,34,1996,56,4.675,0.91400003,0,4.62,1.890975,1,0.156982,0.024811938,,0.03350521,,0,,0,0.022085372,1,0,0,0,0,0,,0.024811938,0.03350521,0,0,0,0,0
SchleswigHolstein,Generic,2/4/1997,1997,35,1996,57,5.167,1.0310001,11.4242735,0.63,2.109863,1,0.1751533,0.02487286,,0.034823265,,0,,0,0.022085372,1,0,0,0,0,0,,0.02487286,0.034823265,0,0,0,0,0
