sName,Variety,Pyear,DOY,FINT,YIELD_ATT,AGB,YIELD_DIS
Confienza,Deneb,2013,206,1,NA,NA,NA
Confienza,Deneb,2013,252,0,832,NA,780
Confienza,Deneb,2014,206,1,NA,NA,NA
Confienza,Deneb,2014,252,0,807,NA,22
Confienza,Deneb,2015,206,1,NA,NA,NA
Confienza,Deneb,2015,252,0,925,NA,738
Confienza,Gladio,2013,206,1,NA,NA,NA
Confienza,Gladio,2013,252,0,967,NA,738
Confienza,Gladio,2014,206,1,NA,NA,NA
Confienza,Gladio,2014,252,0,666,NA,505
Confienza,Gladio,2015,206,1,NA,NA,NA
Confienza,Gladio,2015,252,0,752,NA,752
Confienza,Balilla,2013,206,1,NA,NA,NA
Confienza,Balilla,2013,252,0,667,NA,667
Confienza,Balilla,2014,206,1,NA,NA,NA
Confienza,Balilla,2014,252,0,840,NA,121
Confienza,Balilla,2015,206,1,NA,NA,NA
Confienza,Balilla,2015,252,0,983,NA,983
Confienza,VialoneNano,2013,206,1,NA,NA,NA
Confienza,VialoneNano,2013,252,0,677,NA,509
Confienza,VialoneNano,2014,206,1,NA,NA,NA
Confienza,VialoneNano,2014,252,0,420,NA,49
Confienza,VialoneNano,2015,206,1,NA,NA,NA
Confienza,VialoneNano,2015,252,0,527,NA,353
Confienza,Deneb,2013,227,0.5,NA,NA,NA
Confienza,Deneb,2014,227,0.5,NA,NA,NA
Confienza,Deneb,2015,227,0.5,NA,NA,NA
Confienza,Gladio,2013,227,0.5,NA,NA,NA
Confienza,Gladio,2014,227,0.5,NA,NA,NA
Confienza,Gladio,2015,227,0.5,NA,NA,NA
Confienza,Balilla,2013,227,0.5,NA,NA,NA
Confienza,Balilla,2014,227,0.5,NA,NA,NA
Confienza,Balilla,2015,227,0.5,NA,NA,NA
Confienza,VialoneNano,2013,227,0.5,NA,NA,NA
Confienza,VialoneNano,2014,227,0.5,NA,NA,NA
Confienza,VialoneNano,2015,227,0.5,NA,NA,NA
