year,month,day,rad,tx,tn,p,rhx,rhn
2013,1,1,3.842,5.3,0.6,4.6,100,94
2013,1,2,3.842,5.3,0.6,4.6,100,94
2013,1,3,6.225,9.4,-1.7,0,100,71
2013,1,4,6.776,11.4,-1.6,0,100,62
2013,1,5,8,18.7,0.8,0,97,43
2013,1,6,6.538,11.1,-0.7,0,100,70
2013,1,7,6.327,9.3,-1.6,0.2,100,86
2013,1,8,4.141,6.3,1.7,0,100,100
2013,1,9,2.751,5.6,3.6,0,100,87
2013,1,10,5.616,7.1,-1.1,0,100,82
2013,1,11,5.558,6.6,-1.3,0.2,100,89
2013,1,12,2.523,4.4,2.8,0,97,85
2013,1,13,2.111,3.9,2.8,1.4,100,95
2013,1,14,4.213,4.8,0.5,0.6,100,88
2013,1,15,3.433,4.3,1.5,5.4,100,85
2013,1,16,5.897,6.6,-1.5,0,99,41
2013,1,17,6.943,8.7,-2.3,0,86,24
2013,1,18,7.509,7.6,-5,0,91,27
2013,1,19,3.514,1.8,-0.9,0.6,100,78
2013,1,20,2.465,1.5,0.2,13,100,100
2013,1,21,4.889,4.5,-0.5,2,100,100
2013,1,22,6.523,8,-0.7,0,100,78
2013,1,23,6.787,7.6,-1.6,5.6,100,69
2013,1,24,7.372,10.2,-0.4,0,100,60
2013,1,25,7.027,7.7,-1.7,0.2,100,72
2013,1,26,7.337,6.8,-3.2,0,100,70
2013,1,27,6.849,4.4,-4.1,0.2,100,86
2013,1,28,3.279,3.5,1.6,6.8,100,93
2013,1,29,6.815,7.1,-0.9,0,100,77
2013,1,30,8.629,7.7,-4.8,0,100,79
2013,1,31,6.304,5.6,-0.9,0,100,100
2013,2,1,5.195,3.2,-1.1,0.4,100,100
2013,2,2,6.669,10.1,3.2,1.4,100,32
2013,2,3,8.649,12,0.7,0,70,19
2013,2,4,10.133,12.1,-3,0,90,30
2013,2,5,7.523,6.7,-1.4,0,93,66
2013,2,6,10.65,13.1,-2.7,0,100,22
2013,2,7,9.251,11.3,-0.3,0,98,18
2013,2,8,10.043,9.6,-3.7,0,77,18
2013,2,9,9.988,9.1,-3.7,0,83,17
2013,2,10,9.927,6.4,-5.9,0,85,37
2013,2,11,5.134,2,-1.2,1.4,100,52
2013,2,12,10.164,6.6,-5.6,1.4,100,65
2013,2,13,7.228,-0.4,-6.4,0,100,97
2013,2,14,10.662,5.1,-7.6,0.2,100,72
2013,2,15,9.97,7.8,-3,0,100,44
2013,2,16,11.048,9.7,-3.2,0,98,50
2013,2,17,10.438,8.9,-2.3,0,99,56
2013,2,18,10.149,9.3,-1,0,99,57
2013,2,19,11.561,9.9,-3.1,0.2,100,47
2013,2,20,8.903,7.1,-0.4,0,96,71
2013,2,21,6.425,4.1,0.3,2.2,99,91
2013,2,22,7.396,2.7,-2.2,0,98,71
2013,2,23,9.817,3.9,-4.5,0,100,67
2013,2,24,4.607,1.8,0,8,100,96
2013,2,25,6.417,3.6,0.2,10,100,93
2013,2,26,12.27,12.7,0.6,0.6,97,36
2013,2,27,11.694,9.2,-1.5,0.4,96,52
2013,2,28,9.789,10.6,3.3,0.2,98,68
2013,3,1,14.076,14,-0.7,0,100,47
2013,3,2,12.615,13.2,1.7,0,98,53
2013,3,3,14.934,14,-1.7,0,100,55
2013,3,4,14.936,14.9,-0.4,0.2,100,46
2013,3,5,12.353,10.8,0.6,0,95,48
2013,3,6,6.786,8.3,5.3,13.6,99,58
2013,3,7,6.398,9.2,6.6,12.2,100,99
2013,3,8,5.823,9.9,7.8,11.4,100,100
2013,3,9,12.607,11.7,2.1,2,100,88
2013,3,10,12.291,12.3,3.4,0.2,100,85
2013,3,11,14.568,13.5,1.3,0,100,75
2013,3,12,10.928,11.5,4.8,4.6,100,80
2013,3,13,12.532,13.4,4.8,13.2,100,66
2013,3,14,13.947,11.9,1.5,0.2,100,21
2013,3,15,13.346,10.2,0.9,0,37,14
2013,3,16,16.33,10.1,-3.5,0,83,23
2013,3,17,10.215,5.6,0.4,14.8,100,63
2013,3,18,10.819,5.3,-0.4,18.8,100,90
2013,3,19,19.063,15.9,-1.4,0.2,100,23
2013,3,20,13.028,8.8,0.9,1.8,100,75
2013,3,21,19.995,16.9,-1.3,0,100,21
2013,3,22,18.656,15.9,0.4,0,91,37
2013,3,23,15.374,12.9,2.6,2,99,67
2013,3,24,9.314,9.1,5.4,35.2,100,98
2013,3,25,9.413,7.9,4.2,2.4,100,83
2013,3,26,9.64,6.9,3.1,0,91,65
2013,3,27,10.833,8.8,4.1,0,89,62
2013,3,28,9.84,7.5,3.7,9.4,95,78
2013,3,29,11.849,8.6,3.2,0,98,77
2013,3,30,10.171,7.9,4,19,100,93
2013,3,31,21.381,18.2,1.3,0.2,100,15
2013,4,1,9.246,8.7,5.6,0,90,67
2013,4,2,16.427,15.1,5.5,0,93,49
2013,4,3,19.297,17.4,4.4,0,94,45
2013,4,4,11.958,12.2,7.3,5.6,95,59
2013,4,5,10.903,10,6,9.8,99,88
2013,4,6,17.994,15.5,4.8,0.2,100,57
2013,4,7,14.578,15.5,8.6,0,99,52
2013,4,8,11.056,9.6,5.7,3,92,74
2013,4,9,12.877,11,5.8,0,97,70
2013,4,10,21.385,16.6,2.5,0.2,100,49
2013,4,11,16.141,15.3,7.4,3.2,99,64
2013,4,12,17.752,20.1,10.7,3.8,100,58
2013,4,13,22.906,22.4,7,0.2,99,30
2013,4,14,23.089,23.7,8.3,0,95,34
2013,4,15,23.042,24.6,9.5,0,94,38
2013,4,16,19.084,23.9,13.7,0,86,34
2013,4,17,22.768,26.7,12.4,0,91,32
2013,4,18,22.937,26.7,12.4,0,91,38
2013,4,19,23.024,25.4,11.2,2.2,95,42
2013,4,20,10.297,11.8,9,18.4,96,76
2013,4,21,18.592,16.5,7.5,12,98,67
2013,4,22,11.84,14.5,10.9,3.4,97,69
2013,4,23,21.212,21.1,9.7,0.2,98,44
2013,4,24,22.27,23,10.6,0.2,96,38
2013,4,25,23.561,24.4,10.7,0,93,33
2013,4,26,14.036,19.3,14.5,3.4,96,62
2013,4,27,11.35,17.1,14,0.6,97,84
2013,4,28,16.789,19.6,12.9,21.2,98,61
2013,4,29,11.112,15.6,12.7,11.4,99,89
2013,4,30,18.565,21.7,13.7,1.6,98,64
2013,5,1,20.561,24.3,14.6,4.4,95,50
2013,5,2,21.615,24.7,14.1,0,90,44
2013,5,3,20.576,22,12.5,0,94,65
2013,5,4,24.106,24.6,11.7,0,92,38
2013,5,5,22.581,24,12.8,5.6,97,46
2013,5,6,18.941,21.7,13.9,0.8,97,61
2013,5,7,23.808,24.3,12.1,15.2,99,52
2013,5,8,24.218,24.2,11.7,3.8,99,51
2013,5,9,23.136,26.7,15.4,0,92,41
2013,5,10,16.653,20.7,14.9,2.8,97,64
2013,5,11,22.828,23.9,13.1,0.2,98,47
2013,5,12,23.454,24.1,12.8,0.2,93,24
2013,5,13,24.375,22.5,10.4,0,73,40
2013,5,14,25.951,24.6,11,0,92,39
2013,5,15,18.694,20.1,13.1,0,91,58
2013,5,16,11.656,13.8,11.1,39.4,99,85
2013,5,17,20.142,20.2,12.2,4.2,100,45
2013,5,18,21.444,19.2,10.2,13.4,99,48
2013,5,19,21.877,20.3,11,11.4,100,47
2013,5,20,22.421,20.9,11.2,3,97,45
2013,5,21,22.381,20.2,10.6,1.8,93,45
2013,5,22,26.331,21.8,8.6,0,93,48
2013,5,23,24.223,23.9,12.8,0.2,75,31
2013,5,24,19.017,15.4,8.6,11,88,43
2013,5,25,16.518,13.1,8,1.6,94,65
2013,5,26,29.156,21.7,5.9,0,96,22
2013,5,27,26.924,21.7,8.3,0,90,37
2013,5,28,19.511,20,13,0.2,88,51
2013,5,29,22.424,20,10.8,2.4,91,37
2013,5,30,25.131,21.8,10.3,1.8,94,22
2013,5,31,15.223,13.6,9.4,0,95,88
2013,6,1,24.122,21.5,11,0,94.5,53
2013,6,2,30.575,29.4,12.6,0,94,18
2013,6,3,23.037,24.8,15.3,0,86,33
2013,6,4,26.686,26.2,13.5,0,93,32
2013,6,5,24.307,26.7,16.2,0,82,33
2013,6,6,25.481,27.2,15.7,0,82,39
2013,6,7,23.916,27.8,17.7,0,85,37
2013,6,8,25.557,28,16.5,0,92,35
2013,6,9,21.344,22.4,14.4,8.6,96,52
2013,6,10,23.652,23.2,13.4,0,98,52
2013,6,11,29.295,29.4,14.4,0,93,26
2013,6,12,27.195,29.5,16.6,0,88,25
2013,6,13,27.638,30.4,17.1,0,87,28
2013,6,14,25.041,30.4,19.5,0,80,35
2013,6,15,23.76,29.3,19.5,0,88,51
2013,6,16,24.842,30.2,19.5,0,89,46
2013,6,17,26.539,32.8,20.6,0,87,35
2013,6,18,26.873,34.4,21.9,0,89,34
2013,6,19,25.783,34.6,23.1,0,86,28
2013,6,20,23.683,29.1,19.4,0.4,88,47
2013,6,21,24.759,28.4,17.8,0,90,32
2013,6,22,24.524,28.7,18.3,0,88,38
2013,6,23,24.044,28,18,0.2,89,46
2013,6,24,26.001,27.8,16.1,0,87,17
2013,6,25,27.608,27.8,14.6,0,62,17
2013,6,26,24.845,26.8,16.1,0,66,22
2013,6,27,24.244,23.3,13.1,0,93,46
2013,6,28,24.464,22.3,11.9,0,96,41
2013,6,29,25.026,23.7,12.8,0,93,42
2013,6,30,30.483,29.4,13.2,0,94,28
2013,7,1,29.692,29.9,14.5,0,94,32
2013,7,2,28.178,30.7,16.8,0,84,30
2013,7,3,22.647,26.5,17.5,0,87,53
2013,7,4,29.586,31.1,15.7,0,94,37
2013,7,5,27.145,31.8,18.8,0,90,33
2013,7,6,26.578,32.8,20.3,0,89,34
2013,7,7,24.204,31.3,20.9,0,92,41
2013,7,8,24.85,31.8,20.8,0,86,37
2013,7,9,24.349,30.7,20.1,0,91,44
2013,7,10,25.313,30.9,19.4,0,93,40
2013,7,11,27.065,32.1,18.9,0,94,41
2013,7,12,24.766,30.9,19.8,0,88,46
2013,7,13,23.918,30.4,20,0.6,92,50
2013,7,14,25.845,29.9,17.7,6.8,96,41
2013,7,15,26.511,31.5,18.6,0,94,42
2013,7,16,25.29,31.1,19.3,0,96,56
2013,7,17,22.75,30.3,20.7,0,92,45
2013,7,18,18.232,25.2,19,0,92,60
2013,7,19,26.626,30.9,17.6,0,97,38
2013,7,20,27.236,32,18,0,93,35
2013,7,21,27.055,32.3,18.4,0,94,44
2013,7,22,26.379,33.3,20,0,94,41
2013,7,23,27.922,34.2,19.2,0,91,38
2013,7,24,25.503,33.5,20.9,0,93,36
2013,7,25,26.787,34.3,20.3,0,97,51
2013,7,26,24.607,32.9,21,0,97,53
2013,7,27,26.207,35.1,21.5,0,96,43
2013,7,28,25.027,34.7,22.2,0,94,36
2013,7,29,24.22,28.9,17.1,5.6,94,58
2013,7,30,27.195,30.1,15.1,0,96,33
2013,7,31,27.617,32.3,16.7,0,95,35
2013,8,1,26.143,32.4,18.3,0,95,33
2013,8,2,27.898,34,17.8,0,96,38
2013,8,3,25.538,33.8,20.1,0,93,40
2013,8,4,25.512,33.4,19.6,0,95,48
2013,8,5,26.294,34.6,19.8,0,96,47
2013,8,6,25.988,34.9,20.3,0,96,40
2013,8,7,20.858,30.7,21.2,0,95,58
2013,8,8,19.279,27,18.8,3,97,63
2013,8,9,23.393,29.2,17,0,96,43
2013,8,10,26.563,30.9,15,0,92,25
2013,8,11,25.053,31.2,16.9,0,93,37
2013,8,12,26.27,32.5,16.6,0,96,37
2013,8,13,26.202,33.4,17.4,0,97,43
2013,8,14,17.953,24.2,16.6,2,95,64
2013,8,15,22.611,28.4,16.2,0,93,38
2013,8,16,24.331,28.7,14.4,0,96,36
