"","LON","LAT","YEAR","MO","DY","HR","T2M","RH2M","PRECTOTCORR"
"1",2,45,2002,1,1,0,-3.21,64.25,0.05
"2",2,45,2002,1,1,1,-3.27,62.55,0.05
"3",2,45,2002,1,1,2,-3.51,62.11,0.05
"4",2,45,2002,1,1,3,-3.44,60.72,0.05
"5",2,45,2002,1,1,4,-3.24,59.04,0.06
"6",2,45,2002,1,1,5,-2.95,56.64,0.07
"7",2,45,2002,1,1,6,-2.76,55.12,0.07
"8",2,45,2002,1,1,7,-2.76,54.17,0.04
"9",2,45,2002,1,1,8,-1.95,50.65,0.01
"10",2,45,2002,1,1,9,-0.22,45.99,0
"11",2,45,2002,1,1,10,1.75,42.29,0
"12",2,45,2002,1,1,11,3.46,37.83,0
"13",2,45,2002,1,1,12,4.32,39.57,0
"14",2,45,2002,1,1,13,4.53,45.89,0.01
"15",2,45,2002,1,1,14,3.8,55.57,0.01
"16",2,45,2002,1,1,15,1.57,66.51,0.01
"17",2,45,2002,1,1,16,-0.59,74.18,0.01
"18",2,45,2002,1,1,17,-0.55,72.88,0.02
"19",2,45,2002,1,1,18,-0.61,71.9,0
"20",2,45,2002,1,1,19,-0.88,72.97,0
"21",2,45,2002,1,1,20,-1.04,73.65,0
"22",2,45,2002,1,1,21,-1.03,74.71,0
"23",2,45,2002,1,1,22,-0.94,75.54,0
"24",2,45,2002,1,1,23,-0.9,78.04,0
"25",2,45,2002,1,2,0,-0.83,80.86,0
"26",2,45,2002,1,2,1,-0.69,82.09,0
"27",2,45,2002,1,2,2,-0.55,82.73,0
"28",2,45,2002,1,2,3,-0.59,83.77,0
"29",2,45,2002,1,2,4,-0.73,84.97,0
"30",2,45,2002,1,2,5,-0.92,85.73,0
"31",2,45,2002,1,2,6,-1.11,86.51,0
"32",2,45,2002,1,2,7,-1.23,87.36,0
"33",2,45,2002,1,2,8,-0.36,83.66,0
"34",2,45,2002,1,2,9,1.45,78.19,0
"35",2,45,2002,1,2,10,3.49,73.97,0
"36",2,45,2002,1,2,11,4.59,72.85,0
"37",2,45,2002,1,2,12,5.13,72.59,0
"38",2,45,2002,1,2,13,5.3,73.46,0
"39",2,45,2002,1,2,14,4.77,76.75,0
"40",2,45,2002,1,2,15,3.52,82.18,0
"41",2,45,2002,1,2,16,2.4,86.38,0
"42",2,45,2002,1,2,17,1.88,88.51,0
"43",2,45,2002,1,2,18,1.54,90.2,0.04
"44",2,45,2002,1,2,19,1.5,91.35,0.05
"45",2,45,2002,1,2,20,1.58,92.39,0.04
"46",2,45,2002,1,2,21,1.8,92.25,0.03
"47",2,45,2002,1,2,22,1.91,92.81,0.02
"48",2,45,2002,1,2,23,1.87,93.48,0.02
"49",2,45,2002,1,3,0,2.05,93.57,0.03
"50",2,45,2002,1,3,1,2.22,94.17,0.05
"51",2,45,2002,1,3,2,2.34,94.61,0.07
"52",2,45,2002,1,3,3,2.44,94.73,0.11
"53",2,45,2002,1,3,4,2.39,95.25,0.07
"54",2,45,2002,1,3,5,2.19,96.61,0.05
"55",2,45,2002,1,3,6,1.93,97.76,0.02
"56",2,45,2002,1,3,7,1.74,98,0.02
"57",2,45,2002,1,3,8,2.78,93.73,0.02
"58",2,45,2002,1,3,9,4.52,88.45,0.03
"59",2,45,2002,1,3,10,6.49,83.54,0.03
"60",2,45,2002,1,3,11,8.06,79.74,0.04
"61",2,45,2002,1,3,12,8.98,77.05,0.04
"62",2,45,2002,1,3,13,9.17,76.45,0.04
"63",2,45,2002,1,3,14,8.35,79.13,0.06
"64",2,45,2002,1,3,15,5.91,87.73,0.09
"65",2,45,2002,1,3,16,3.08,98.47,0.11
"66",2,45,2002,1,3,17,2.64,97.45,0.11
"67",2,45,2002,1,3,18,2.45,96.48,0.03
"68",2,45,2002,1,3,19,2.34,96.64,0.03
"69",2,45,2002,1,3,20,2.3,97.37,0.02
"70",2,45,2002,1,3,21,2.59,98.15,0.02
"71",2,45,2002,1,3,22,2.65,99.21,0.03
"72",2,45,2002,1,3,23,3.4,96.89,0.08
"73",2,45,2002,1,4,0,4.28,94.68,0.24
"74",2,45,2002,1,4,1,4.47,93.86,0.32
"75",2,45,2002,1,4,2,4.25,91.78,0.29
"76",2,45,2002,1,4,3,3.68,89.89,0.29
"77",2,45,2002,1,4,4,2.99,88.87,0.29
"78",2,45,2002,1,4,5,2.78,88.18,0.34
"79",2,45,2002,1,4,6,2.54,89.11,0.34
"80",2,45,2002,1,4,7,2.28,89.32,0.27
"81",2,45,2002,1,4,8,2.53,87.2,0.2
"82",2,45,2002,1,4,9,3.5,83.46,0.15
"83",2,45,2002,1,4,10,4.74,79.81,0.12
"84",2,45,2002,1,4,11,5.77,77.17,0.15
"85",2,45,2002,1,4,12,6.38,75.76,0.13
"86",2,45,2002,1,4,13,6.61,75.07,0.09
"87",2,45,2002,1,4,14,6.3,75.73,0.05
"88",2,45,2002,1,4,15,5.15,79.2,0.04
